,degree_num,degree_type_num,gene
0,30,4,G:HGNC:7
1,34,4,G:HGNC:13666
2,34,4,G:HGNC:20
3,19,4,G:HGNC:21022
4,16,4,G:HGNC:17366
5,51,4,G:HGNC:23
6,82,4,G:HGNC:29
7,24,4,G:HGNC:33
8,25,4,G:HGNC:34
9,22,4,G:HGNC:35
10,48,4,G:HGNC:37
11,51,4,G:HGNC:14637
12,38,4,G:HGNC:47
13,42,4,G:HGNC:48
14,38,4,G:HGNC:42
15,73,4,G:HGNC:57
16,21,4,G:HGNC:59
17,31,4,G:HGNC:60
18,51,4,G:HGNC:61
19,26,4,G:HGNC:67
20,17,4,G:HGNC:68
21,32,4,G:HGNC:13886
22,90,4,G:HGNC:13887
23,57,4,G:HGNC:21396
24,38,4,G:HGNC:15868
25,177,4,G:HGNC:76
26,18,4,G:HGNC:21497
27,23,4,G:HGNC:89
28,15,4,G:HGNC:90
29,39,4,G:HGNC:91
30,29,4,G:HGNC:92
31,32,4,G:HGNC:319
32,36,4,G:HGNC:93
33,23,4,G:HGNC:25070
34,58,4,G:HGNC:2707
35,41,4,G:HGNC:16066
36,29,4,G:HGNC:15919
37,128,4,G:HGNC:119
38,19,4,G:HGNC:120
39,14,4,G:HGNC:14376
40,94,4,G:HGNC:3571
41,58,4,G:HGNC:129
42,24,4,G:HGNC:130
43,172,4,G:HGNC:132
44,38,4,G:HGNC:143
45,85,4,G:HGNC:144
46,72,4,G:HGNC:164
47,136,4,G:HGNC:166
48,100,4,G:HGNC:171
49,85,4,G:HGNC:175
50,33,4,G:HGNC:177
51,77,4,G:HGNC:188
52,130,4,G:HGNC:195
53,26,4,G:HGNC:201
54,14,4,G:HGNC:218
55,35,4,G:HGNC:1366
56,39,4,G:HGNC:17109
57,24,4,G:HGNC:17110
58,16,4,G:HGNC:19706
59,91,4,G:HGNC:225
60,42,4,G:HGNC:232
61,39,4,G:HGNC:236
62,43,4,G:HGNC:237
63,39,4,G:HGNC:245
64,20,4,G:HGNC:3337
65,34,4,G:HGNC:4512
66,15,4,G:HGNC:4516
67,22,4,G:HGNC:13841
68,13,4,G:HGNC:251
69,50,4,G:HGNC:257
70,37,4,G:HGNC:15766
71,19,4,G:HGNC:21304
72,61,4,G:HGNC:282
73,32,4,G:HGNC:288
74,18,4,G:HGNC:291
75,23,4,G:HGNC:20093
76,57,4,G:HGNC:3776
77,75,4,G:HGNC:17869
78,29,4,G:HGNC:315
79,15,4,G:HGNC:317
80,76,4,G:HGNC:26147
81,46,4,G:HGNC:21869
82,32,4,G:HGNC:321
83,18,4,G:HGNC:325
84,46,4,G:HGNC:327
85,48,4,G:HGNC:329
86,19,4,G:HGNC:330
87,103,4,G:HGNC:333
88,43,4,G:HGNC:336
89,35,4,G:HGNC:341
90,7,4,G:HGNC:25230
91,60,4,G:HGNC:21575
92,35,4,G:HGNC:13203
93,37,4,G:HGNC:8768
94,44,4,G:HGNC:10648
95,20,4,G:HGNC:20609
96,53,4,G:HGNC:358
97,28,4,G:HGNC:359
98,30,4,G:HGNC:361
99,75,4,G:HGNC:362
100,14,4,G:HGNC:20091
101,44,4,G:HGNC:379
102,27,4,G:HGNC:385
103,40,4,G:HGNC:388
104,226,4,G:HGNC:391
105,76,4,G:HGNC:392
106,70,4,G:HGNC:393
107,49,4,G:HGNC:395
108,62,4,G:HGNC:409
109,26,4,G:HGNC:404
110,15,4,G:HGNC:406
111,65,4,G:HGNC:408
112,59,4,G:HGNC:7179
113,31,4,G:HGNC:877
114,33,4,G:HGNC:9722
115,151,4,G:HGNC:414
116,24,4,G:HGNC:417
117,85,4,G:HGNC:18294
118,30,4,G:HGNC:23159
119,19,4,G:HGNC:23056
120,30,4,G:HGNC:23161
121,108,4,G:HGNC:15672
122,15,4,G:HGNC:19358
123,17,4,G:HGNC:30881
124,100,4,G:HGNC:28287
125,24,4,G:HGNC:428
126,30,4,G:HGNC:17574
127,27,4,G:HGNC:438
128,49,4,G:HGNC:443
129,22,4,G:HGNC:451
130,31,4,G:HGNC:461
131,108,4,G:HGNC:26837
132,24,4,G:HGNC:467
133,13,4,G:HGNC:468
134,19,4,G:HGNC:469
135,37,4,G:HGNC:470
136,11,4,G:HGNC:473
137,106,4,G:HGNC:491
138,22,4,G:HGNC:16039
139,79,4,G:HGNC:492
140,77,4,G:HGNC:493
141,67,4,G:HGNC:494
142,37,4,G:HGNC:15492
143,19,4,G:HGNC:29101
144,51,4,G:HGNC:21316
145,15,4,G:HGNC:29186
146,16,4,G:HGNC:26724
147,25,4,G:HGNC:14082
148,16,4,G:HGNC:14004
149,13,4,G:HGNC:27337
150,42,4,G:HGNC:21014
151,74,4,G:HGNC:21732
152,57,4,G:HGNC:543
153,55,4,G:HGNC:535
154,61,4,G:HGNC:559
155,29,4,G:HGNC:560
156,75,4,G:HGNC:18971
157,27,4,G:HGNC:565
158,56,4,G:HGNC:566
159,34,4,G:HGNC:567
160,53,4,G:HGNC:568
161,16,4,G:HGNC:572
162,20,4,G:HGNC:573
163,24,4,G:HGNC:575
164,51,4,G:HGNC:22197
165,76,4,G:HGNC:583
166,46,4,G:HGNC:24036
167,30,4,G:HGNC:15718
168,86,4,G:HGNC:603
169,33,4,G:HGNC:619
170,29,4,G:HGNC:14867
171,235,4,G:HGNC:620
172,80,4,G:HGNC:24035
173,24,4,G:HGNC:626
174,63,4,G:HGNC:15984
175,37,4,G:HGNC:634
