,0,1,2,3,4,5
0,"{'meta_path_rank': 33.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:24170', 'gene2': 'G:HGNC:16298', 'total_rank': 326.0}","{'meta_path_rank': 614.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:24170', 'gene2': 'G:HGNC:16298', 'total_rank': 1653.0}","{'meta_path_rank': 1894.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:24170', 'gene2': 'G:HGNC:16298', 'total_rank': 3572.0}","{'meta_path_rank': 3368.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:24170', 'gene2': 'G:HGNC:16298', 'total_rank': 5478.0}",,
1,"{'meta_path_rank': 167.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9688', 'gene2': 'G:HGNC:6773', 'total_rank': 710.0}","{'meta_path_rank': 902.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:9688', 'gene2': 'G:HGNC:6773', 'total_rank': 1378.0}","{'meta_path_rank': 1746.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9688', 'gene2': 'G:HGNC:6773', 'total_rank': 5506.0}","{'meta_path_rank': 1899.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9688', 'gene2': 'G:HGNC:6773', 'total_rank': 6877.0}",,
2,"{'meta_path_rank': 279.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:5000', 'gene2': 'G:HGNC:9237', 'total_rank': 934.0}","{'meta_path_rank': 335.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:5000', 'gene2': 'G:HGNC:9237', 'total_rank': 1241.0}","{'meta_path_rank': 3577.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:5000', 'gene2': 'G:HGNC:9237', 'total_rank': 4725.0}","{'meta_path_rank': 3648.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:5000', 'gene2': 'G:HGNC:9237', 'total_rank': 5741.0}",,
3,"{'meta_path_rank': 10.0, 'meta_path': 'GPdPG', 'gene1': 'G:HGNC:1773', 'gene2': 'G:HGNC:11773', 'total_rank': 43.0}","{'meta_path_rank': 184.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:1773', 'gene2': 'G:HGNC:11773', 'total_rank': 776.0}","{'meta_path_rank': 665.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:1773', 'gene2': 'G:HGNC:11773', 'total_rank': 1668.0}","{'meta_path_rank': 554.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:1773', 'gene2': 'G:HGNC:11773', 'total_rank': 8006.0}","{'meta_path_rank': 774.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:1773', 'gene2': 'G:HGNC:11773', 'total_rank': 7858.0}",
4,"{'meta_path_rank': 2630.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9236', 'gene2': 'G:HGNC:21529', 'total_rank': 4837.0}","{'meta_path_rank': 4123.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9236', 'gene2': 'G:HGNC:21529', 'total_rank': 6068.0}",,,,
5,"{'meta_path_rank': 1482.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:4623', 'gene2': 'G:HGNC:29347', 'total_rank': 2265.0}","{'meta_path_rank': 5204.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4623', 'gene2': 'G:HGNC:29347', 'total_rank': 5739.0}","{'meta_path_rank': 6146.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4623', 'gene2': 'G:HGNC:29347', 'total_rank': 6687.0}",,,
6,"{'meta_path_rank': 127.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:6407', 'gene2': 'G:HGNC:9092', 'total_rank': 619.0}","{'meta_path_rank': 933.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:6407', 'gene2': 'G:HGNC:9092', 'total_rank': 1003.0}","{'meta_path_rank': 2496.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:6407', 'gene2': 'G:HGNC:9092', 'total_rank': 6147.0}","{'meta_path_rank': 4252.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:6407', 'gene2': 'G:HGNC:9092', 'total_rank': 6593.0}",,
7,"{'meta_path_rank': 444.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:3093', 'gene2': 'G:HGNC:10943', 'total_rank': 566.0}","{'meta_path_rank': 479.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:3093', 'gene2': 'G:HGNC:10943', 'total_rank': 2324.0}","{'meta_path_rank': 4.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:3093', 'gene2': 'G:HGNC:10943', 'total_rank': 7522.0}","{'meta_path_rank': 162.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:3093', 'gene2': 'G:HGNC:10943', 'total_rank': 7816.0}",,
8,"{'meta_path_rank': 129.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:6679', 'gene2': 'G:HGNC:11905', 'total_rank': 417.0}","{'meta_path_rank': 1361.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:6679', 'gene2': 'G:HGNC:11905', 'total_rank': 1504.0}","{'meta_path_rank': 3576.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:6679', 'gene2': 'G:HGNC:11905', 'total_rank': 5637.0}","{'meta_path_rank': 5113.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:6679', 'gene2': 'G:HGNC:11905', 'total_rank': 7314.0}",,
9,"{'meta_path_rank': 657.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:2897', 'gene2': 'G:HGNC:5048', 'total_rank': 793.0}","{'meta_path_rank': 525.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:2897', 'gene2': 'G:HGNC:5048', 'total_rank': 1047.0}","{'meta_path_rank': 3916.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:2897', 'gene2': 'G:HGNC:5048', 'total_rank': 5920.0}","{'meta_path_rank': 4081.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:2897', 'gene2': 'G:HGNC:5048', 'total_rank': 6735.0}",,
