,number of gene,range
0,208,33
1,43,85
2,271,30
3,311,24
4,467,13
5,251,28
6,502,10
7,218,34
8,382,20
9,547,4
10,466,14
11,622,3
12,394,18
13,26,108
14,572,6
15,372,19
16,330,23
17,1327,2
18,559,11
19,67,67
20,445,16
21,262,29
22,646,9
23,124,51
24,40,82
25,164,41
26,269,25
27,356,22
28,168,39
29,130,48
30,462,15
31,231,31
32,167,38
33,155,42
34,118,55
35,186,40
36,173,43
37,88,64
38,64,73
39,327,21
40,436,17
41,79,65
42,303,26
43,49,78
44,89,60
45,144,45
46,233,32
47,32,90
48,5,138
49,100,57
50,174,35
51,13,111
52,93,63
53,2,204
54,544,12
55,2,177
56,14,125
57,62,76
58,589,8
59,120,50
60,67,62
61,191,37
62,850,7
63,196,36
64,140,49
65,98,58
66,86,69
67,155,44
68,7,127
69,10,128
70,536,5
71,105,53
72,35,94
73,113,54
74,2,172
75,775,1
76,66,72
77,234,27
78,16,136
79,57,77
80,5,139
81,22,100
82,17,113
83,128,47
84,52,86
85,131,52
86,62,71
87,7,130
88,36,91
89,138,46
90,62,74
91,44,81
92,12,120
93,11,126
94,80,61
95,64,70
96,71,75
97,73,66
98,4,149
99,2,297
100,2,209
101,72,68
102,19,103
103,23,105
104,14,115
105,92,59
106,93,56
107,14,116
108,2,226
109,53,79
110,5,151
111,30,96
112,22,92
113,29,87
114,19,106
115,22,110
116,26,104
117,21,107
118,29,102
119,13,124
120,3,162
121,17,112
122,1,235
123,43,80
124,5,183
125,15,118
126,9,137
127,33,89
128,2,166
129,13,119
130,21,98
131,8,147
132,35,88
133,24,109
134,52,84
135,6,163
136,7,148
137,16,114
138,3,160
139,1,200
140,11,131
141,44,83
142,6,144
143,2,180
144,8,171
145,13,123
146,34,93
147,1,255
148,27,99
149,10,135
150,7,143
151,11,122
152,21,101
153,2,181
154,6,134
155,2,203
156,14,121
157,3,199
158,31,95
159,5,159
160,1,258
161,1,195
162,4,207
163,2,205
164,3,161
165,10,117
166,2,176
167,9,146
168,4,168
169,21,97
170,4,179
171,2,192
172,8,133
173,1,253
174,2,158
175,1,178
176,2,187
177,2,191
178,1,217
179,5,169
180,8,141
181,3,170
182,6,132
183,3,152
184,6,145
185,6,140
186,3,184
187,1,260
188,5,153
189,7,129
190,1,246
191,1,174
192,2,182
193,1,287
194,4,154
195,3,155
196,2,202
197,5,165
198,1,291
199,1,265
200,1,210
201,1,175
202,1,339
203,1,188
204,3,150
205,4,164
206,1,240
207,1,196
208,3,156
209,3,157
210,2,186
211,2,173
212,1,185
213,2,215
214,1,190
215,5,142
216,1,285
217,1,167
218,1,262
219,1,234
220,2,194
221,1,302
222,1,197
223,1,233
224,1,198
225,1,237
226,1,261
227,1,222
228,1,239
229,1,347
