,gene1,gene2,meta_path,meta_path_rank,total_rank
3,G:HGNC:6932,G:HGNC:9236,['GDMDG'],1.0,9.0
0,G:HGNC:6932,G:HGNC:9236,['GDG'],2.0,5.0
7,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDMDG']",2.0,5.0
1,G:HGNC:6932,G:HGNC:9236,['GDpDG'],3.0,123.0
5,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG']",3.0,6.0
16,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDMDG']",3.0,6.0
10,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDMDG']",3.0,6.0
25,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDpDpDG', 'GDMDG']",5.0,5.0
21,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDpDpDG', 'GDMDG']",5.0,5.0
18,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDpDG', 'GDMDG']",5.0,5.0
15,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDpDpDG']",5.0,5.0
6,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDpDG']",5.0,5.0
30,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDpDpDG', 'GDMDG', 'GTG']",9.0,14.0
28,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDpDG', 'GDMDG', 'GTG']",9.0,14.0
26,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDpDpDG', 'GTG']",9.0,14.0
29,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDpDpDG', 'GDMDG', 'GTG']",9.0,14.0
19,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDpDG', 'GTG']",9.0,14.0
27,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GDMDG', 'GTG']",16.0,23.0
17,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDpDG', 'GTG']",16.0,23.0
23,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDMDG', 'GTG']",16.0,23.0
8,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GTG']",17.0,22.0
20,G:HGNC:6932,G:HGNC:9236,"['GDG', 'GDMDG', 'GTG']",18.0,23.0
24,G:HGNC:6932,G:HGNC:9236,"['GDpDpDG', 'GDMDG', 'GTG']",21.0,32.0
12,G:HGNC:6932,G:HGNC:9236,"['GDpDpDG', 'GDMDG']",21.0,23.0
14,G:HGNC:6932,G:HGNC:9236,"['GDMDG', 'GTG']",23.0,49.0
11,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GTG']",31.0,201.0
22,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDpDpDG', 'GTG']",209.0,231.0
9,G:HGNC:6932,G:HGNC:9236,"['GDpDG', 'GDpDpDG']",240.0,257.0
4,G:HGNC:6932,G:HGNC:9236,['GTG'],728.0,934.0
13,G:HGNC:6932,G:HGNC:9236,"['GDpDpDG', 'GTG']",3175.0,4263.0
2,G:HGNC:6932,G:HGNC:9236,['GDpDpDG'],4455.0,4745.0
