,gene1,gene2,meta_path,meta_path_rank,total_rank
1,G:HGNC:3236,G:HGNC:11850,GMG,5,585
0,G:HGNC:3236,G:HGNC:11850,GTG,183,1075
2,G:HGNC:3236,G:HGNC:11850,GMDMG,2326,5763
3,G:HGNC:3236,G:HGNC:11850,GMDpDMG,3531,5578
0,G:HGNC:14866,G:HGNC:28330,GMG,529,1677
1,G:HGNC:14866,G:HGNC:28330,GMDMG,2215,3692
2,G:HGNC:14866,G:HGNC:28330,GMDpDMG,2558,5056
1,G:HGNC:10896,G:HGNC:11233,GTG,342,703
2,G:HGNC:10896,G:HGNC:11233,GMG,1937,1965
0,G:HGNC:10896,G:HGNC:11233,GDpDpDG,3350,5715
3,G:HGNC:10896,G:HGNC:11233,GMDMG,3957,4383
4,G:HGNC:10896,G:HGNC:11233,GMDpDMG,4991,5294
0,G:HGNC:18646,G:HGNC:19331,GTG,101,295
2,G:HGNC:18646,G:HGNC:19331,GMDMG,121,3993
1,G:HGNC:18646,G:HGNC:19331,GMG,177,1638
3,G:HGNC:18646,G:HGNC:19331,GMDpDMG,4576,6192
1,G:HGNC:3676,G:HGNC:8490,GMG,209,1378
0,G:HGNC:3676,G:HGNC:8490,GTG,470,649
2,G:HGNC:3676,G:HGNC:8490,GMDMG,491,5700
3,G:HGNC:3676,G:HGNC:8490,GMDpDMG,5893,6902
0,G:HGNC:7600,G:HGNC:20856,GMG,1398,1715
1,G:HGNC:7600,G:HGNC:20856,GMDMG,3242,4299
0,G:HGNC:10776,G:HGNC:11283,GTG,472,1089
1,G:HGNC:10776,G:HGNC:11283,GMDMG,776,2310
0,G:HGNC:14312,G:HGNC:9588,GDpDG,343,424
2,G:HGNC:14312,G:HGNC:9588,GTG,497,840
1,G:HGNC:14312,G:HGNC:9588,GDpDpDG,605,5765
3,G:HGNC:14312,G:HGNC:9588,GMG,952,1595
5,G:HGNC:14312,G:HGNC:9588,GMDpDMG,2695,7789
4,G:HGNC:14312,G:HGNC:9588,GMDMG,4035,7013
0,G:HGNC:5258,G:HGNC:20809,GTG,783,832
1,G:HGNC:5258,G:HGNC:20809,GMG,1138,1204
3,G:HGNC:5258,G:HGNC:20809,GMDpDMG,1906,5936
2,G:HGNC:5258,G:HGNC:20809,GMDMG,2930,4524
1,G:HGNC:3754,G:HGNC:16262,GTG,475,770
2,G:HGNC:3754,G:HGNC:16262,GMG,536,828
3,G:HGNC:3754,G:HGNC:16262,GMDMG,3443,4941
0,G:HGNC:3754,G:HGNC:16262,GDpDpDG,4701,5298
4,G:HGNC:3754,G:HGNC:16262,GMDpDMG,4821,5993
0,G:HGNC:9299,G:HGNC:25582,GTG,438,526
1,G:HGNC:9299,G:HGNC:25582,GMDMG,2614,4374
2,G:HGNC:9299,G:HGNC:25582,GMDpDMG,5275,6693
1,G:HGNC:644,G:HGNC:29941,GTG,495,840
4,G:HGNC:644,G:HGNC:29941,GMDpDMG,856,6096
2,G:HGNC:644,G:HGNC:29941,GMG,1554,1573
3,G:HGNC:644,G:HGNC:29941,GMDMG,1691,4754
0,G:HGNC:644,G:HGNC:29941,GDpDpDG,4499,4896
0,G:HGNC:4765,G:HGNC:12735,GTG,280,530
3,G:HGNC:4765,G:HGNC:12735,GMDpDMG,327,8100
1,G:HGNC:4765,G:HGNC:12735,GMG,388,1621
2,G:HGNC:4765,G:HGNC:12735,GMDMG,690,7272
0,G:HGNC:23060,G:HGNC:12036,GTG,503,711
1,G:HGNC:23060,G:HGNC:12036,GMG,1089,1524
2,G:HGNC:23060,G:HGNC:12036,GMDMG,4917,5411
3,G:HGNC:23060,G:HGNC:12036,GMDpDMG,5819,6334
0,G:HGNC:3676,G:HGNC:16002,GTG,452,637
1,G:HGNC:3676,G:HGNC:16002,GMG,1049,1793
2,G:HGNC:3676,G:HGNC:16002,GMDMG,1537,5687
3,G:HGNC:3676,G:HGNC:16002,GMDpDMG,4755,7354
0,G:HGNC:25582,G:HGNC:32008,GTG,86,326
1,G:HGNC:25582,G:HGNC:32008,GMG,317,1831
