,gene1,gene2,ins,mPath,score
2,G:HGNC:6932,G:HGNC:22197,8,GDpDpDG,0.010217114
13,G:HGNC:6932,G:HGNC:24036,10,GDpDpDG,0.028169014
4,G:HGNC:6932,G:HGNC:589,18,GDpDpDG,0.025334272
14,G:HGNC:6932,G:HGNC:794,20,GDpDpDG,0.011614402
16,G:HGNC:6932,G:HGNC:11231,13,GDpDpDG,0.008196721
20,G:HGNC:6932,G:HGNC:795,16,GDpDpDG,0.014753343
23,G:HGNC:6932,G:HGNC:3033,3,GDpDpDG,0.006674082
29,G:HGNC:6932,G:HGNC:799,2,GDpDpDG,0.003093581
31,G:HGNC:6932,G:HGNC:800,18,GDpDpDG,0.027522936
33,G:HGNC:6932,G:HGNC:801,37,GDpDpDG,0.003635113
6,G:HGNC:6932,G:HGNC:234,1,GMG,0.4
8,G:HGNC:6932,G:HGNC:236,2,GDpDpDG,0.010362694
10,G:HGNC:6932,G:HGNC:237,1,GDpDpDG,0.009433962
15,G:HGNC:6932,G:HGNC:21285,3,GDpDpDG,0.040268456
20,G:HGNC:6932,G:HGNC:245,24,GDpDpDG,0.021164021
3,G:HGNC:6932,G:HGNC:886,159,GDpDpDG,0.006564822
5,G:HGNC:6932,G:HGNC:10548,9,GDpDpDG,0.005051923
8,G:HGNC:6932,G:HGNC:10555,10,GDpDpDG,0.001643926
11,G:HGNC:6932,G:HGNC:7106,7,GDpDpDG,0.003134796
14,G:HGNC:6932,G:HGNC:10560,7,GDpDpDG,0.00419916
19,G:HGNC:6932,G:HGNC:32925,7,GDpDpDG,0.005725971
21,G:HGNC:6932,G:HGNC:10561,7,GDpDpDG,0.005725971
23,G:HGNC:6932,G:HGNC:890,17,GDpDpDG,0.009852217
30,G:HGNC:6932,G:HGNC:14262,61,GDpDpDG,0.010929941
1,G:HGNC:6932,G:HGNC:685,1,GMG,0.090909091
3,G:HGNC:6932,G:HGNC:14561,4,GDpDpDG,0.023738872
17,G:HGNC:6932,G:HGNC:11110,54,GDpDpDG,0.022756005
19,G:HGNC:6932,G:HGNC:18040,38,GDpDpDG,0.015300987
21,G:HGNC:6932,G:HGNC:18037,38,GDpDpDG,0.015886288
5,G:HGNC:6932,G:HGNC:4117,12,GDpDpDG,0.005559416
10,G:HGNC:6932,G:HGNC:924,8,GDpDpDG,0.026533997
17,G:HGNC:6932,G:HGNC:930,31,GDpDpDG,0.013393822
20,G:HGNC:6932,G:HGNC:24123,12,GDpDpDG,0.014879107
21,G:HGNC:6932,G:HGNC:28636,2,GDpDpDG,0.026490066
34,G:HGNC:6932,G:HGNC:939,5,GDpDpDG,0.011037528
1,G:HGNC:6932,G:HGNC:869,60,GDpDpDG,0.014314684
5,G:HGNC:6932,G:HGNC:13533,16,GDpDpDG,0.019242333
7,G:HGNC:6932,G:HGNC:3706,10,GDpDpDG,0.003795787
22,G:HGNC:6932,G:HGNC:30213,22,GDpDpDG,0.0025525
29,G:HGNC:6932,G:HGNC:18802,35,GDpDpDG,0.009839753
32,G:HGNC:6932,G:HGNC:882,47,GDpDpDG,0.010835735
