gene1,gene2
HGNC:8927,HGNC:8032
HGNC:2602,HGNC:1133
HGNC:6937,HGNC:91
HGNC:29958,HGNC:30605
HGNC:757,HGNC:3005
HGNC:8964,HGNC:175
HGNC:5212,HGNC:4803
HGNC:7413,HGNC:8896
HGNC:257,HGNC:9115
HGNC:9081,HGNC:93
HGNC:18453,HGNC:29666
HGNC:9208,HGNC:20233
HGNC:5201,HGNC:4803
HGNC:4799,HGNC:4803
HGNC:9462,HGNC:2280
HGNC:5201,HGNC:3579
HGNC:2528,HGNC:9689
HGNC:10294,HGNC:393
HGNC:1502,HGNC:2973
HGNC:2860,HGNC:393
HGNC:2995,HGNC:15917
HGNC:8931,HGNC:237
HGNC:33882,HGNC:1500
HGNC:1509,HGNC:7758
HGNC:9155,HGNC:7216
HGNC:3133,HGNC:12730
HGNC:26527,HGNC:9052
HGNC:4177,HGNC:6172
HGNC:7179,HGNC:5218
HGNC:21022,HGNC:362
HGNC:2898,HGNC:325
HGNC:17341,HGNC:12730
HGNC:408,HGNC:395
HGNC:10545,HGNC:17759
HGNC:19691,HGNC:4335
HGNC:90,HGNC:19358
HGNC:24464,HGNC:9891
HGNC:10681,HGNC:2707
HGNC:11257,HGNC:12563
HGNC:5157,HGNC:90
HGNC:9413,HGNC:8604
HGNC:12563,HGNC:90
HGNC:8604,HGNC:6176
HGNC:8794,HGNC:4311
HGNC:11257,HGNC:21474
HGNC:2933,HGNC:93
HGNC:10681,HGNC:19316
HGNC:12572,HGNC:470
HGNC:7029,HGNC:11831
HGNC:12877,HGNC:409
HGNC:15993,HGNC:8907
HGNC:9173,HGNC:30605
HGNC:7468,HGNC:4696
HGNC:9280,HGNC:5394
HGNC:11257,HGNC:2228
HGNC:758,HGNC:3528
HGNC:4289,HGNC:5212
HGNC:7473,HGNC:3700
HGNC:19691,HGNC:21406
HGNC:3642,HGNC:29812
HGNC:15993,HGNC:890
HGNC:7450,HGNC:24592
HGNC:25695,HGNC:8907
HGNC:9721,HGNC:361
HGNC:13486,HGNC:6193
HGNC:8905,HGNC:19358
HGNC:10545,HGNC:10294
HGNC:385,HGNC:13398
HGNC:9255,HGNC:321
HGNC:2973,HGNC:25792
HGNC:89,HGNC:9279
HGNC:3535,HGNC:2501
HGNC:869,HGNC:6469
HGNC:29812,HGNC:7716
HGNC:10547,HGNC:17175
HGNC:9751,HGNC:12563
HGNC:8768,HGNC:3767
HGNC:9349,HGNC:6050
HGNC:17175,HGNC:8592
HGNC:12651,HGNC:2858
HGNC:24678,HGNC:9040
HGNC:24249,HGNC:626
HGNC:4922,HGNC:4204
HGNC:21144,HGNC:924
HGNC:9279,HGNC:2592
HGNC:21144,HGNC:3535
HGNC:2995,HGNC:8940
HGNC:18294,HGNC:5157
HGNC:9411,HGNC:13345
HGNC:8794,HGNC:14988
HGNC:17759,HGNC:4696
HGNC:24861,HGNC:90
HGNC:469,HGNC:8654
HGNC:1848,HGNC:3535
HGNC:29932,HGNC:19358
HGNC:10872,HGNC:8957
HGNC:26404,HGNC:251
HGNC:6842,HGNC:13398
HGNC:5218,HGNC:6685
HGNC:3438,HGNC:12440
HGNC:4570,HGNC:4162
HGNC:2867,HGNC:29594
HGNC:20580,HGNC:12513
HGNC:1550,HGNC:924
HGNC:6530,HGNC:9414
HGNC:5154,HGNC:794
HGNC:19237,HGNC:7104
HGNC:4138,HGNC:13345
HGNC:24249,HGNC:9689
HGNC:3247,HGNC:24861
HGNC:24592,HGNC:7045
HGNC:9402,HGNC:7468
HGNC:1492,HGNC:438
HGNC:2602,HGNC:12651
HGNC:18518,HGNC:16001
HGNC:10681,HGNC:886
HGNC:6524,HGNC:5201
HGNC:20499,HGNC:9059
HGNC:25792,HGNC:2328
HGNC:4189,HGNC:10294
HGNC:3247,HGNC:18466
HGNC:3642,HGNC:4799
HGNC:6315,HGNC:24671
HGNC:3579,HGNC:13533
HGNC:15505,HGNC:12840
HGNC:29594,HGNC:6833
HGNC:17341,HGNC:9402
HGNC:24862,HGNC:29685
HGNC:18518,HGNC:25135
HGNC:9040,HGNC:13420
HGNC:1492,HGNC:8806
HGNC:12651,HGNC:2519
HGNC:4125,HGNC:1318
HGNC:12009,HGNC:1442
HGNC:7218,HGNC:362
HGNC:257,HGNC:19139
HGNC:1067,HGNC:4341
HGNC:9413,HGNC:8754
HGNC:4012,HGNC:1971
HGNC:20499,HGNC:11992
HGNC:8772,HGNC:6512
HGNC:25223,HGNC:17095
HGNC:8923,HGNC:21869
HGNC:4416,HGNC:13345
HGNC:4796,HGNC:8022
HGNC:18986,HGNC:4177
HGNC:19691,HGNC:2328
HGNC:7029,HGNC:854
HGNC:15672,HGNC:4056
HGNC:5157,HGNC:409
HGNC:853,HGNC:18294
HGNC:2843,HGNC:408
HGNC:11503,HGNC:17964
HGNC:9577,HGNC:29594
HGNC:8778,HGNC:16999
HGNC:25461,HGNC:451
HGNC:9173,HGNC:406
HGNC:17697,HGNC:9081
HGNC:9060,HGNC:6708
HGNC:5157,HGNC:18466
HGNC:12469,HGNC:8021
HGNC:4313,HGNC:8653
HGNC:9958,HGNC:26019
HGNC:3435,HGNC:6937
HGNC:19691,HGNC:4817
HGNC:21042,HGNC:2323
HGNC:9060,HGNC:2330
HGNC:6186,HGNC:7590
HGNC:361,HGNC:9066
HGNC:4892,HGNC:6937
HGNC:9751,HGNC:854
HGNC:8923,HGNC:25792
HGNC:404,HGNC:9115
HGNC:20286,HGNC:30605
HGNC:8547,HGNC:24247
HGNC:3706,HGNC:8772
HGNC:1848,HGNC:11277
HGNC:9689,HGNC:3012
HGNC:119,HGNC:9081
HGNC:4065,HGNC:12266
HGNC:11179,HGNC:15672
HGNC:7473,HGNC:4021
HGNC:25481,HGNC:4056
HGNC:30611,HGNC:12572
HGNC:1502,HGNC:17964
HGNC:1502,HGNC:12572
HGNC:9208,HGNC:90
HGNC:4837,HGNC:16001
HGNC:1550,HGNC:10545
HGNC:12877,HGNC:8794
HGNC:9255,HGNC:11460
HGNC:2867,HGNC:9282
HGNC:3247,HGNC:30740
HGNC:6050,HGNC:6215
HGNC:24671,HGNC:6171
HGNC:17964,HGNC:3551
HGNC:6708,HGNC:1460
HGNC:26444,HGNC:7029
HGNC:28883,HGNC:2873
