,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
28,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GTG', 'GMG']",1.0,0.833,6.0,1
30,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG', 'GMG']",2.0,0.667,6.0,1
26,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GMG']",2.0,0.667,6.0,1
22,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GMG']",2.0,0.95,40.0,1
19,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GMG']",2.0,0.667,6.0,1
29,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GTG', 'GMG']",2.0,0.95,40.0,1
27,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GTG', 'GMG']",4.0,0.964,111.0,1
16,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GTG']",5.0,0.994,896.0,1
10,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GTG']",5.0,0.999,4978.0,1
25,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",6.0,0.829,35.0,1
15,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG']",6.0,0.829,35.0,1
18,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GTG']",7.0,0.8,35.0,1
7,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GTG']",7.0,0.99,730.0,1
20,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GTG', 'GMG']",9.0,0.918,110.0,1
23,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GTG', 'GMG']",9.0,0.989,814.0,1
6,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG']",12.0,0.657,35.0,1
21,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GTG']",17.0,0.887,151.0,1
0,G:HGNC:6524,G:HGNC:6193,['GDpDG'],17.0,0.916,202.0,1
5,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG']",19.0,0.981,1018.0,1
17,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GMG']",19.0,0.861,137.0,1
8,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GMG']",23.0,0.828,134.0,1
9,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG']",27.0,0.824,153.0,1
24,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GTG', 'GMG']",28.0,0.728,103.0,1
1,G:HGNC:6524,G:HGNC:6193,['GDpDpDG'],32.0,0.994,5538.0,1
13,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GMG']",33.0,0.582,79.0,1
4,G:HGNC:6524,G:HGNC:6193,['GMG'],33.0,0.901,335.0,1
2,G:HGNC:6524,G:HGNC:6193,['GPdPG'],33.0,0.45,60.0,1
11,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GMG']",51.0,0.947,964.0,1
3,G:HGNC:6524,G:HGNC:6193,['GTG'],56.0,0.906,593.0,1
14,G:HGNC:6524,G:HGNC:6193,"['GTG', 'GMG']",167.0,0.908,1820.0,1
12,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GTG']",211.0,0.549,468.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
28,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GTG', 'GMG']",1.0,0.833,6.0,1
30,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG', 'GMG']",2.0,0.667,6.0,1
26,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GMG']",2.0,0.667,6.0,1
22,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GMG']",2.0,0.95,40.0,1
19,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GMG']",2.0,0.667,6.0,1
29,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GTG', 'GMG']",2.0,0.95,40.0,1
27,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GTG', 'GMG']",4.0,0.964,111.0,1
16,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GTG']",5.0,0.994,895.0,1
10,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GTG']",5.0,0.999,4973.0,1
25,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",6.0,0.829,35.0,1
15,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GPdPG']",6.0,0.829,35.0,1
18,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG', 'GTG']",7.0,0.8,35.0,1
7,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GTG']",7.0,0.99,730.0,1
20,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GTG', 'GMG']",9.0,0.918,110.0,1
23,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GTG', 'GMG']",9.0,0.989,814.0,1
6,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GPdPG']",12.0,0.657,35.0,1
21,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG', 'GTG']",17.0,0.887,151.0,1
0,G:HGNC:6524,G:HGNC:6193,['GDpDG'],17.0,0.916,202.0,1
5,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG']",19.0,0.981,1017.0,1
17,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GDpDpDG', 'GMG']",19.0,0.861,137.0,1
8,G:HGNC:6524,G:HGNC:6193,"['GDpDG', 'GMG']",23.0,0.828,134.0,1
9,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GPdPG']",27.0,0.824,153.0,1
24,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GTG', 'GMG']",28.0,0.728,103.0,1
1,G:HGNC:6524,G:HGNC:6193,['GDpDpDG'],32.0,0.994,5533.0,1
13,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GMG']",33.0,0.582,79.0,1
4,G:HGNC:6524,G:HGNC:6193,['GMG'],33.0,0.901,335.0,1
2,G:HGNC:6524,G:HGNC:6193,['GPdPG'],33.0,0.45,60.0,1
11,G:HGNC:6524,G:HGNC:6193,"['GDpDpDG', 'GMG']",51.0,0.947,964.0,1
3,G:HGNC:6524,G:HGNC:6193,['GTG'],56.0,0.906,593.0,1
14,G:HGNC:6524,G:HGNC:6193,"['GTG', 'GMG']",167.0,0.908,1820.0,1
12,G:HGNC:6524,G:HGNC:6193,"['GPdPG', 'GTG']",211.0,0.549,468.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9314,G:HGNC:15566,['GTG'],125.0,0.784,578.0,1
1,G:HGNC:9314,G:HGNC:15566,['GMDMG'],1773.0,0.296,2517.0,1
2,G:HGNC:9314,G:HGNC:15566,"['GTG', 'GMDMG']",6118.0,0.243,8086.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9036,G:HGNC:9038,['GTG'],17.0,0.954,371.0,1
2,G:HGNC:9036,G:HGNC:9038,"['GTG', 'GMDMG']",20.0,0.995,3838.0,1
1,G:HGNC:9036,G:HGNC:9038,['GMDMG'],197.0,0.897,1920.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:7643,G:HGNC:26274,['GPdPG'],1.0,0.667,3.0,1
17,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMDpDMG']",1.0,0.75,4.0,1
16,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMDMG']",1.0,0.833,6.0,1
5,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG']",1.0,0.8,5.0,1
15,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMG']",1.0,0.75,4.0,1
1,G:HGNC:7643,G:HGNC:26274,['GTG'],1.0,0.997,301.0,1
27,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",2.0,0.5,4.0,1
7,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMDMG']",3.0,0.571,7.0,1
8,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMDpDMG']",3.0,0.4,5.0,1
28,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMG', 'GMDMG', 'GMDpDMG']",4.0,0.2,5.0,1
26,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMG', 'GMDpDMG']",4.0,0.0,4.0,1
25,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMG', 'GMDMG']",4.0,0.0,4.0,1
20,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMDMG', 'GMDpDMG']",4.0,0.2,5.0,1
19,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMG', 'GMDpDMG']",4.0,0.2,5.0,1
18,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMG', 'GMDMG']",4.0,0.2,5.0,1
30,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GTG', 'GMG', 'GMDMG', 'GMDpDMG']",4.0,0.0,4.0,1
6,G:HGNC:7643,G:HGNC:26274,"['GPdPG', 'GMG']",4.0,0.2,5.0,1
10,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMDMG']",88.0,0.989,7822.0,1
9,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMG']",544.0,0.799,2706.0,1
11,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMDpDMG']",584.0,0.923,7550.0,1
2,G:HGNC:7643,G:HGNC:26274,['GMG'],964.0,0.121,1097.0,1
21,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMG', 'GMDMG']",2148.0,0.603,5412.0,1
22,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMG', 'GMDpDMG']",2259.0,0.546,4978.0,1
23,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMDMG', 'GMDpDMG']",2914.0,0.685,9239.0,1
29,G:HGNC:7643,G:HGNC:26274,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",3008.0,0.404,5043.0,1
3,G:HGNC:7643,G:HGNC:26274,['GMDMG'],3361.0,0.263,4561.0,1
4,G:HGNC:7643,G:HGNC:26274,['GMDpDMG'],4586.0,0.228,5943.0,1
13,G:HGNC:7643,G:HGNC:26274,"['GMG', 'GMDpDMG']",6757.0,0.121,7686.0,1
12,G:HGNC:7643,G:HGNC:26274,"['GMG', 'GMDMG']",6951.0,0.153,8205.0,1
24,G:HGNC:7643,G:HGNC:26274,"['GMG', 'GMDMG', 'GMDpDMG']",7198.0,0.132,8291.0,1
14,G:HGNC:7643,G:HGNC:26274,"['GMDMG', 'GMDpDMG']",9097.0,0.238,11937.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:24791,G:HGNC:17825,['GTG'],18.0,0.956,413.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:8905,G:HGNC:8906,['GTG'],1.0,0.998,450.0,1
5,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG']",1.0,1.0,11840.0,1
6,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDpDMG']",6.0,0.999,10650.0,1
4,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG']",38.0,0.983,2181.0,1
12,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG', 'GMDpDMG']",51.0,0.996,13246.0,1
11,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDpDMG']",81.0,0.981,4349.0,1
1,G:HGNC:8905,G:HGNC:8906,['GMG'],177.0,0.608,451.0,1
10,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG']",190.0,0.958,4492.0,1
14,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",268.0,0.94,4438.0,1
8,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDpDMG']",1773.0,0.608,4528.0,1
7,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG']",1970.0,0.589,4792.0,1
2,G:HGNC:8905,G:HGNC:8906,['GMDMG'],2484.0,0.426,4329.0,1
13,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG', 'GMDpDMG']",2685.0,0.454,4922.0,1
3,G:HGNC:8905,G:HGNC:8906,['GMDpDMG'],4170.0,0.251,5568.0,1
9,G:HGNC:8905,G:HGNC:8906,"['GMDMG', 'GMDpDMG']",8146.0,0.355,12626.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:3763,G:HGNC:3387,['GPdPG'],30.0,0.516,62.0,1
1,G:HGNC:3763,G:HGNC:3387,['GTG'],44.0,0.921,559.0,1
2,G:HGNC:3763,G:HGNC:3387,"['GPdPG', 'GTG']",177.0,0.587,429.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
