,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
0,G:HGNC:7849,G:HGNC:7851,['GTG'],25.0,0.957,576.0
1,G:HGNC:3435,G:HGNC:26220,['GTG'],387.0,0.325,573.0
2,G:HGNC:3435,G:HGNC:26220,['GMG'],2.0,0.992,244.0
3,G:HGNC:3435,G:HGNC:26220,['GMDMG'],1.0,0.998,645.0
4,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMG']",140.0,0.712,486.0
5,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMDMG']",246.0,0.782,1131.0
6,G:HGNC:3435,G:HGNC:26220,"['GMG', 'GMDMG']",2.0,0.997,651.0
7,G:HGNC:3435,G:HGNC:26220,"['GTG', 'GMG', 'GMDMG']",100.0,0.857,700.0
8,G:HGNC:16253,G:HGNC:11278,['GPdPG'],2.0,0.867,15.0
9,G:HGNC:16253,G:HGNC:11278,['GTG'],3.0,0.987,235.0
10,G:HGNC:16253,G:HGNC:11278,['GMDMG'],2895.0,0.322,4267.0
11,G:HGNC:16253,G:HGNC:11278,['GMDpDMG'],3045.0,0.524,6396.0
12,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG']",2.0,0.96,50.0
13,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDMG']",26.0,0.594,64.0
14,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDpDMG']",18.0,0.69,58.0
15,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDMG']",1951.0,0.559,4421.0
16,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDpDMG']",1514.0,0.72,5409.0
17,G:HGNC:16253,G:HGNC:11278,"['GMDMG', 'GMDpDMG']",4433.0,0.553,9917.0
18,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDMG']",10.0,0.808,52.0
19,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDpDMG']",9.0,0.8,45.0
20,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GMDMG', 'GMDpDMG']",19.0,0.672,58.0
21,G:HGNC:16253,G:HGNC:11278,"['GTG', 'GMDMG', 'GMDpDMG']",2173.0,0.67,6580.0
22,G:HGNC:16253,G:HGNC:11278,"['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",12.0,0.739,46.0
23,G:HGNC:7717,G:HGNC:7716,['GDG'],1.0,0.8,5.0
24,G:HGNC:7717,G:HGNC:7716,['GDpDG'],1.0,0.998,434.0
25,G:HGNC:7717,G:HGNC:7716,['GPdPG'],1.0,0.933,15.0
26,G:HGNC:7717,G:HGNC:7716,['GTG'],3.0,0.991,350.0
27,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG']",1.0,0.9,10.0
28,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GPdPG']",1.0,0.8,5.0
29,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GTG']",3.0,0.929,42.0
30,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GPdPG']",1.0,0.972,36.0
31,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GTG']",5.0,0.994,777.0
32,G:HGNC:7717,G:HGNC:7716,"['GPdPG', 'GTG']",3.0,0.972,107.0
33,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GPdPG']",1.0,0.875,8.0
34,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GTG']",5.0,0.904,52.0
35,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GPdPG', 'GTG']",3.0,0.914,35.0
36,G:HGNC:7717,G:HGNC:7716,"['GDpDG', 'GPdPG', 'GTG']",5.0,0.947,94.0
37,G:HGNC:7717,G:HGNC:7716,"['GDG', 'GDpDG', 'GPdPG', 'GTG']",5.0,0.878,41.0
38,G:HGNC:14129,G:HGNC:24650,['GTG'],1.0,0.998,490.0
39,G:HGNC:14129,G:HGNC:24650,['GMG'],6.0,0.983,345.0
40,G:HGNC:14129,G:HGNC:24650,['GMDMG'],239.0,0.948,4591.0
41,G:HGNC:14129,G:HGNC:24650,['GMDpDMG'],3382.0,0.359,5280.0
42,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG']",1.0,0.998,654.0
43,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDMG']",2.0,1.0,6121.0
44,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDpDMG']",1856.0,0.714,6482.0
45,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDMG']",67.0,0.982,3659.0
46,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDpDMG']",1378.0,0.619,3618.0
47,G:HGNC:14129,G:HGNC:24650,"['GMDMG', 'GMDpDMG']",1662.0,0.81,8738.0
48,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDMG']",1.0,1.0,3464.0
49,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDpDMG']",309.0,0.908,3359.0
50,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDMG', 'GMDpDMG']",409.0,0.955,9051.0
51,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDMG', 'GMDpDMG']",452.0,0.895,4289.0
52,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",67.0,0.982,3776.0
53,G:HGNC:393,G:HGNC:6863,['GTG'],33.0,0.939,544.0
54,G:HGNC:9314,G:HGNC:15566,['GTG'],125.0,0.784,578.0
55,G:HGNC:9314,G:HGNC:15566,['GMDMG'],1773.0,0.296,2517.0
56,G:HGNC:9314,G:HGNC:15566,"['GTG', 'GMDMG']",2049.0,0.312,2980.0
57,G:HGNC:8905,G:HGNC:8906,['GTG'],1.0,0.998,450.0
58,G:HGNC:8905,G:HGNC:8906,['GMG'],177.0,0.608,451.0
59,G:HGNC:8905,G:HGNC:8906,['GMDMG'],2484.0,0.426,4329.0
60,G:HGNC:8905,G:HGNC:8906,['GMDpDMG'],4170.0,0.251,5568.0
61,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG']",1.0,0.998,665.0
62,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG']",1483.0,0.729,5466.0
63,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDpDMG']",3327.0,0.509,6781.0
64,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG']",1649.0,0.517,3416.0
65,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDpDMG']",2118.0,0.419,3647.0
66,G:HGNC:8905,G:HGNC:8906,"['GMDMG', 'GMDpDMG']",5396.0,0.379,8695.0
67,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG']",849.0,0.732,3173.0
68,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDpDMG']",1250.0,0.628,3363.0
69,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG', 'GMDpDMG']",3694.0,0.577,8734.0
70,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG', 'GMDpDMG']",2319.0,0.449,4211.0
71,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",1501.0,0.596,3718.0
72,G:HGNC:251,G:HGNC:255,['GTG'],3.0,0.989,273.0
73,G:HGNC:2460,G:HGNC:9381,['GTG'],137.0,0.778,617.0
74,G:HGNC:8784,G:HGNC:8787,['GPdPG'],16.0,0.698,53.0
75,G:HGNC:8784,G:HGNC:8787,['GTG'],16.0,0.947,303.0
76,G:HGNC:8784,G:HGNC:8787,"['GPdPG', 'GTG']",17.0,0.907,183.0
77,G:HGNC:8592,G:HGNC:9402,['GDpDpDG'],2507.0,0.557,5655.0
78,G:HGNC:8592,G:HGNC:9402,['GPdPG'],3.0,0.932,44.0
79,G:HGNC:8592,G:HGNC:9402,['GTG'],214.0,0.643,599.0
80,G:HGNC:8592,G:HGNC:9402,['GMG'],291.0,0.464,543.0
81,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG']",47.0,0.678,146.0
82,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GTG']",2117.0,0.562,4831.0
83,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GMG']",654.0,0.546,1439.0
84,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GTG']",165.0,0.45,300.0
85,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GMG']",29.0,0.71,100.0
86,G:HGNC:8592,G:HGNC:9402,"['GTG', 'GMG']",205.0,0.743,797.0
87,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GTG']",47.0,0.671,143.0
88,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GMG']",15.0,0.667,45.0
89,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GTG', 'GMG']",571.0,0.535,1228.0
90,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GTG', 'GMG']",60.0,0.556,135.0
91,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GTG', 'GMG']",15.0,0.667,45.0
92,G:HGNC:10540,G:HGNC:23160,['GTG'],2.0,0.993,301.0
93,G:HGNC:10540,G:HGNC:23160,['GMG'],21.0,0.93,302.0
94,G:HGNC:10540,G:HGNC:23160,"['GTG', 'GMG']",1.0,0.998,423.0
95,G:HGNC:9416,G:HGNC:9395,['GTG'],183.0,0.704,618.0
96,G:HGNC:9416,G:HGNC:9395,['GMG'],666.0,0.339,1008.0
97,G:HGNC:9416,G:HGNC:9395,['GMDMG'],2624.0,0.33,3917.0
98,G:HGNC:9416,G:HGNC:9395,['GMDpDMG'],3401.0,0.367,5374.0
99,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG']",541.0,0.577,1280.0
100,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDMG']",2919.0,0.409,4935.0
101,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDpDMG']",4110.0,0.408,6941.0
102,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDMG']",2869.0,0.335,4315.0
103,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDpDMG']",3074.0,0.356,4777.0
104,G:HGNC:9416,G:HGNC:9395,"['GMDMG', 'GMDpDMG']",5655.0,0.354,8756.0
105,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDMG']",2529.0,0.36,3950.0
106,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDpDMG']",2668.0,0.361,4173.0
107,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDMG', 'GMDpDMG']",4932.0,0.416,8438.0
108,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDMG', 'GMDpDMG']",3694.0,0.314,5384.0
109,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",3080.0,0.312,4475.0
110,G:HGNC:18080,G:HGNC:10871,['GTG'],5.0,0.977,214.0
