,gene1,gene2,result
0,G:HGNC:6524,G:HGNC:6193,"Meta path:['GDpDG', 'GPdPG', 'GTG', 'GMG'], rank is 1 and total rank is 6"
1,G:HGNC:9314,G:HGNC:15566,"Meta path:['GTG'], rank is 125 and total rank is 578"
2,G:HGNC:9036,G:HGNC:9038,"Meta path:['GTG'], rank is 17 and total rank is 371"
3,G:HGNC:7643,G:HGNC:26274,"Meta path:['GPdPG'], rank is 1 and total rank is 3"
4,G:HGNC:24791,G:HGNC:17825,"Meta path:['GTG'], rank is 18 and total rank is 413"
5,G:HGNC:8905,G:HGNC:8906,"Meta path:['GTG'], rank is 1 and total rank is 450"
6,G:HGNC:3763,G:HGNC:3387,"Meta path:['GPdPG'], rank is 30 and total rank is 62"
7,G:HGNC:8590,G:HGNC:9381,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
8,G:HGNC:815,G:HGNC:13211,"Meta path:['GTG'], rank is 11 and total rank is 455"
9,G:HGNC:9299,G:HGNC:9304,"Meta path:['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG'], rank is 5 and total rank is 13"
10,G:HGNC:30488,G:HGNC:19877,"Meta path:['GTG'], rank is 6 and total rank is 234"
11,G:HGNC:13480,G:HGNC:9395,"Meta path:['GTG'], rank is 191 and total rank is 627"
12,G:HGNC:8885,G:HGNC:8887,"Meta path:['GTG'], rank is 1 and total rank is 154"
13,G:HGNC:21531,G:HGNC:19873,"Meta path:['GTG'], rank is 4 and total rank is 208"
14,G:HGNC:393,G:HGNC:2460,"Meta path:['GTG'], rank is 240 and total rank is 643"
15,G:HGNC:476,G:HGNC:475,"Meta path:['GPG'], rank is 1 and total rank is 1"
16,G:HGNC:17820,G:HGNC:8022,"Meta path:['GTG'], rank is 13 and total rank is 299"
17,G:HGNC:9410,G:HGNC:16254,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
18,G:HGNC:2269,G:HGNC:2288,"Meta path:['GTG'], rank is 56 and total rank is 234"
19,G:HGNC:9276,G:HGNC:25415,"Meta path:['GTG'], rank is 31 and total rank is 379"
20,G:HGNC:22316,G:HGNC:18126,"Meta path:['GTG'], rank is 54 and total rank is 379"
21,G:HGNC:24791,G:HGNC:18555,"Meta path:['GTG'], rank is 34 and total rank is 278"
22,G:HGNC:9286,G:HGNC:9305,"Meta path:['GTG'], rank is 99 and total rank is 316"
23,G:HGNC:8590,G:HGNC:11399,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
24,G:HGNC:9288,G:HGNC:9303,"Meta path:['GTG', 'GMG'], rank is 33 and total rank is 3084"
25,G:HGNC:29149,G:HGNC:9276,"Meta path:['GTG'], rank is 24 and total rank is 411"
26,G:HGNC:16890,G:HGNC:9288,"Meta path:['GTG'], rank is 110 and total rank is 336"
27,G:HGNC:9288,G:HGNC:9287,"Meta path:['GTG'], rank is 75 and total rank is 439"
28,G:HGNC:9410,G:HGNC:11399,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
29,G:HGNC:25135,G:HGNC:22316,"Meta path:['GTG'], rank is 23 and total rank is 406"
30,G:HGNC:10481,G:HGNC:3657,"Meta path:['GTG'], rank is 193 and total rank is 591"
31,G:HGNC:22140,G:HGNC:30045,"Meta path:['GTG'], rank is 205 and total rank is 536"
