,0,1,2,3,4,5
0,"{'meta_path_rank': 3515.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:4816', 'gene2': 'G:HGNC:626', 'total_rank': 4951.0}","{'meta_path_rank': 97.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:4816', 'gene2': 'G:HGNC:626', 'total_rank': 385.0}","{'meta_path_rank': 258.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:4816', 'gene2': 'G:HGNC:626', 'total_rank': 575.0}","{'meta_path_rank': 2203.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4816', 'gene2': 'G:HGNC:626', 'total_rank': 3060.0}","{'meta_path_rank': 3894.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4816', 'gene2': 'G:HGNC:626', 'total_rank': 4494.0}",
1,"{'meta_path_rank': 3704.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:21022', 'gene2': 'G:HGNC:853', 'total_rank': 5246.0}","{'meta_path_rank': 249.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:21022', 'gene2': 'G:HGNC:853', 'total_rank': 376.0}",,,,
2,"{'meta_path_rank': 3425.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:15917', 'gene2': 'G:HGNC:8905', 'total_rank': 5587.0}","{'meta_path_rank': 261.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:15917', 'gene2': 'G:HGNC:8905', 'total_rank': 624.0}","{'meta_path_rank': 1247.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:15917', 'gene2': 'G:HGNC:8905', 'total_rank': 2925.0}","{'meta_path_rank': 667.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:15917', 'gene2': 'G:HGNC:8905', 'total_rank': 3375.0}",,
3,"{'meta_path_rank': 3027.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:4817', 'gene2': 'G:HGNC:24671', 'total_rank': 5124.0}","{'meta_path_rank': 23.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:4817', 'gene2': 'G:HGNC:24671', 'total_rank': 413.0}","{'meta_path_rank': 729.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4817', 'gene2': 'G:HGNC:24671', 'total_rank': 2792.0}","{'meta_path_rank': 376.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4817', 'gene2': 'G:HGNC:24671', 'total_rank': 4629.0}",,
4,"{'meta_path_rank': 4435.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:4021', 'gene2': 'G:HGNC:886', 'total_rank': 4614.0}","{'meta_path_rank': 2201.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4021', 'gene2': 'G:HGNC:886', 'total_rank': 3865.0}","{'meta_path_rank': 1718.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4021', 'gene2': 'G:HGNC:886', 'total_rank': 5625.0}",,,
5,"{'meta_path_rank': 3014.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:5218', 'gene2': 'G:HGNC:16001', 'total_rank': 5315.0}",,,,,
6,"{'meta_path_rank': 2505.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:8960', 'gene2': 'G:HGNC:8653', 'total_rank': 5705.0}",,,,,
7,"{'meta_path_rank': 4209.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:3771', 'gene2': 'G:HGNC:8724', 'total_rank': 4887.0}",,,,,
8,"{'meta_path_rank': 4374.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:291', 'gene2': 'G:HGNC:14988', 'total_rank': 4570.0}",,,,,
9,"{'meta_path_rank': 931.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:4837', 'gene2': 'G:HGNC:8548', 'total_rank': 5672.0}","{'meta_path_rank': 270.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:4837', 'gene2': 'G:HGNC:8548', 'total_rank': 420.0}","{'meta_path_rank': 2820.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4837', 'gene2': 'G:HGNC:8548', 'total_rank': 3519.0}","{'meta_path_rank': 3770.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4837', 'gene2': 'G:HGNC:8548', 'total_rank': 5019.0}",,
