,0,1,2,3,4,5,6
0,"{'meta_path_rank': 324.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:232', 'gene2': 'G:HGNC:2698', 'total_rank': 450.0}","{'meta_path_rank': 3375.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:232', 'gene2': 'G:HGNC:2698', 'total_rank': 4367.0}","{'meta_path_rank': 5253.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:232', 'gene2': 'G:HGNC:2698', 'total_rank': 6281.0}",,,,
1,"{'meta_path_rank': 1233.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:4138', 'gene2': 'G:HGNC:468', 'total_rank': 4735.0}","{'meta_path_rank': 310.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:4138', 'gene2': 'G:HGNC:468', 'total_rank': 602.0}","{'meta_path_rank': 4497.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:4138', 'gene2': 'G:HGNC:468', 'total_rank': 5055.0}","{'meta_path_rank': 5328.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:4138', 'gene2': 'G:HGNC:468', 'total_rank': 5927.0}",,,
2,"{'meta_path_rank': 1716.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:17697', 'gene2': 'G:HGNC:16999', 'total_rank': 5754.0}","{'meta_path_rank': 157.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:17697', 'gene2': 'G:HGNC:16999', 'total_rank': 338.0}",,,,,
3,"{'meta_path_rank': 205.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:257', 'gene2': 'G:HGNC:6831', 'total_rank': 349.0}","{'meta_path_rank': 1416.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:257', 'gene2': 'G:HGNC:6831', 'total_rank': 5710.0}",,,,,
4,"{'meta_path_rank': 110.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:21144', 'gene2': 'G:HGNC:30262', 'total_rank': 435.0}","{'meta_path_rank': 912.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:21144', 'gene2': 'G:HGNC:30262', 'total_rank': 5778.0}",,,,,
5,"{'meta_path_rank': 318.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:19743', 'gene2': 'G:HGNC:890', 'total_rank': 590.0}","{'meta_path_rank': 2045.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:19743', 'gene2': 'G:HGNC:890', 'total_rank': 5818.0}","{'meta_path_rank': 337.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:19743', 'gene2': 'G:HGNC:890', 'total_rank': 2164.0}",,,,
6,"{'meta_path_rank': 1975.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:21869', 'gene2': 'G:HGNC:20324', 'total_rank': 5791.0}","{'meta_path_rank': 1735.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:21869', 'gene2': 'G:HGNC:20324', 'total_rank': 3188.0}","{'meta_path_rank': 1673.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:21869', 'gene2': 'G:HGNC:20324', 'total_rank': 4583.0}",,,,
7,"{'meta_path_rank': 4047.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:408', 'gene2': 'G:HGNC:9350', 'total_rank': 5262.0}","{'meta_path_rank': 237.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:408', 'gene2': 'G:HGNC:9350', 'total_rank': 385.0}","{'meta_path_rank': 1933.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:408', 'gene2': 'G:HGNC:9350', 'total_rank': 2721.0}","{'meta_path_rank': 1173.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:408', 'gene2': 'G:HGNC:9350', 'total_rank': 4638.0}",,,
8,"{'meta_path_rank': 1863.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9462', 'gene2': 'G:HGNC:9302', 'total_rank': 5721.0}","{'meta_path_rank': 273.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9462', 'gene2': 'G:HGNC:9302', 'total_rank': 569.0}","{'meta_path_rank': 2379.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9462', 'gene2': 'G:HGNC:9302', 'total_rank': 3636.0}","{'meta_path_rank': 3592.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9462', 'gene2': 'G:HGNC:9302', 'total_rank': 5849.0}",,,
9,"{'meta_path_rank': 63.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:25792', 'gene2': 'G:HGNC:8931', 'total_rank': 221.0}","{'meta_path_rank': 477.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:25792', 'gene2': 'G:HGNC:8931', 'total_rank': 5625.0}","{'meta_path_rank': 344.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:25792', 'gene2': 'G:HGNC:8931', 'total_rank': 2660.0}",,,,
10,"{'meta_path_rank': 3396.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:24861', 'gene2': 'G:HGNC:251', 'total_rank': 5730.0}",,,,,,
