"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"1","NM_018992","NM_003975","HGNC:21423","HGNC:10821","0","1","0.564","0","0.175","0.06","0","1","0.791",0
"2","NM_001005190","NM_052846","HGNC:8356","HGNC:16123","0","0","0","0","0","0","0","0","0",0
"3","NM_054105","NR_103785","HGNC:15436","HGNC:40532","0","0","0","0","0","0","0","0","0",0
"4","NM_015932","NM_021794","HGNC:20330","HGNC:208","0.044","0.062","0.156","0.028","0.016","0.03","0.085","0.227","0.318",0
"5","NM_013274","NM_003389","HGNC:9184","HGNC:2255","0.398","0","0.214","0.123","0","0.03","0.268","0.109","0.367",0
"6","NM_006625","NM_003223","HGNC:16713","HGNC:11745","0.508","0.606","0.523","0.195","0.092","0.105","0.401","0.682","0.685",0
"7","NM_001706","NM_001025290","HGNC:1001","HGNC:19201","0","0","0","0","0","0","0","0","0",0
"8","NR_030381","NM_005895","HGNC:32908","HGNC:4426","0","0","0","0","0","0","0","0.305","0",0
"9","NM_019610","NR_003708","HGNC:25073","HGNC:33619","0","0","0","0","0","0","0","0","0",0
"10","NM_133259","NM_014741","HGNC:15714","HGNC:29091","0.478","0.468","0.562","0.274","0.127","0.105","0.234","0.647","0.669",0
"11","NM_153003","NM_002086","HGNC:21017","HGNC:4566","0","0","1","0","0","0.067","0","0","1",0
"12","NM_207186","NM_178502","HGNC:15130","HGNC:24457","0","0","0","0","0","0","0","0","0",0
"13","NM_019007","NM_004669","HGNC:26094","HGNC:2064","0","0","0","0","0","0","0","0","0",0
"14","NM_015103","NM_001085481","HGNC:9107","HGNC:34390","0","0","0","0","0","0","0","0","0",0
"15","NM_058230","NM_004949","HGNC:17197","HGNC:3036","0","0","0","0","0","0","0","0","0.214",0
"16","NM_019896","NM_004047","HGNC:18755","HGNC:861","0.196","0.279","0","0.112","0.092","0","0.174","0.41","0",0
"17","NM_032358","NM_001969","HGNC:28203","HGNC:3299","0","0.408","0","0","0.061","0","0","0.424","0",0
"18","NM_001008226","NM_198559","HGNC:33727","HGNC:25062","0","0","0","0","0","0","0","0","0",0
"19","NR_003080","NM_007054","HGNC:32777","HGNC:6319","0","0","0","0","0","0","0","0","0",0
"20","NR_031602","NM_015971","HGNC:33927","HGNC:14499","0","0","0","0","0","0","0","0","0",0
"21","NM_020689","NM_016586","HGNC:10977","HGNC:20427","0","0.118","0","0","0.016","0","0.085","0.356","0",0
"22","NM_152735","NM_003880","HGNC:28323","HGNC:12771","0","0","0","0","0","0","0","0","0",0
"23","NM_019040","NM_001532","HGNC:1171","HGNC:11004","0.42","0.31","0","0.103","0.085","0","0.316","0.542","0",0
"24","NM_152430","NM_002055","HGNC:15194","HGNC:4235","0","0.139","0","0","0.016","0","0","0.425","0",0
"25","NG_011458","NT_010859","HGNC:16319","HGNC:31093","0","0","0","0","0","0","0","0","0",0
"26","NM_017432","NM_006512","HGNC:9632","HGNC:10516","0","0.353","0","0","0.07","0","0","0.244","0",0
"27","NM_030791","NM_001242648","HGNC:17720","HGNC:20990","0.111","0.714","0","0.053","0.109","0","0.162","0.71","0.092",0
"28","NM_032264","NM_006113","HGNC:25076","HGNC:12659","0","0","0","0","0","0","0","0","0",0
"29","NM_152891","NM_003274","HGNC:30405","HGNC:11868","0.043","0.622","0","0.021","0.079","0","0.086","0.784","0.12",0
"30","NM_014021","NM_033086","HGNC:16509","HGNC:16027","0.452","0.312","0.331","0.185","0.121","0.067","0.376","0.372","0.602",0
"31","NM_004540","NM_002776","HGNC:7657","HGNC:6358","0","0","0","0","0","0","0","0","0.119",0
"32","NM_017425","NM_181845","HGNC:11210","HGNC:13077","0","0","0","0","0","0","0","0","0.214",0
"33","NM_001144874","NM_181788","HGNC:35427","HGNC:24893","0.048","0.161","0","0.028","0.052","0","0.129","0.369","0",0
"34","NM_024068","NM_152769","HGNC:28412","HGNC:28617","0.165","0.23","0.272","0.094","0.062","0.067","0.128","0.409","0.815",0
"35","NM_001033082","NM_153339","HGNC:7555","HGNC:26914","0","0.83","0","0","0.086","0","0","0.91","0",0
"36","NM_152449","NM_001004301","HGNC:26571","HGNC:33257","0","0","0","0","0","0","0","0","0",0
"37","NM_001193623","NM_152534","HGNC:27112","HGNC:18592","0","0","0","0","0","0","0","0","0",0
"38","NM_054105","NM_013320","HGNC:15436","HGNC:24972","0","0.429","0","0","0.068","0","0.086","0.518","0.099",0
"39","NM_001329632","NG_001333","HGNC:25069","HGNC:12234","0","0","0","0","0","0","0","0","0",0
"40","NG_005426","NM_001278501","HGNC:18089","HGNC:32332","0","0","0","0","0","0","0","0","0",0
"41","NM_181742","NM_001013842","HGNC:8490","HGNC:32233","0","0","0","0","0","0","0","0","0",0
"42","NM_144990","NM_016303","HGNC:26313","HGNC:30084","0","0","0","0","0","0","0","0","0",0
"43","NM_017776","NM_000387","HGNC:26007","HGNC:1421","0","0","0","0","0","0","0","0","0",0
"44","NM_152450","NM_020675","HGNC:28379","HGNC:24031","0","0","0","0","0","0","0","0","0",0
"45","NM_014491","NM_001102658","HGNC:13875","HGNC:27286","0","0","0","0","0","0","0","0","0",0
"46","NM_007110","NM_002490","HGNC:11726","HGNC:7690","0.335","0.358","0.214","0.19","0.128","0.134","0.322","0.397","0.121",0
"47","NR_029844","NM_139285","HGNC:31617","HGNC:24846","0","0","0","0","0","0","0","0","0",0
"48","NM_153225","NR_026801","HGNC:30362","HGNC:32031","0","0","0","0","0","0","0","0","0",0
"49","NM_033112","NM_032850","HGNC:21374","HGNC:20758","0.028","0.294","0.192","0.017","0.086","0.03","0.081","0.439","0.367",0
"50","NM_004424","NM_199173","HGNC:3121","HGNC:1043","0.076","0.511","0.024","0.035","0.153","0.012","0.168","0.643","0.326",0
"51","NM_000082","NM_032336","HGNC:3439","HGNC:28226","0.494","1","1","0.264","0.184","0.067","0.508","1","1",0
"52","NM_198460","NM_014043","HGNC:25395","HGNC:24537","0.149","1","0","0.072","0.274","0","0.114","1","0",0
"53","NM_001002916","NM_001008409","HGNC:27252","HGNC:16118","0","0","0","0","0","0","0","0","0",0
"54","NM_006060","NM_031313","HGNC:13176","HGNC:441","0","0.062","0","0","0.011","0","0","0.314","0.141",0
"55","NM_033557","NM_016433","HGNC:30511","HGNC:24867","0","0","1","0","0","0.067","0","0","1",0
"56","NM_012257","NM_006713","HGNC:23200","HGNC:19985","0.222","0.528","0.389","0.075","0.12","0.037","0.134","0.584","0.558",0
"57","NM_001080848","NM_020828","HGNC:16847","HGNC:17801","0","0","0","0","0","0","0","0","0",0
"58","NG_000834","NM_001009959","HGNC:5733","HGNC:29208","0","0","0","0","0","0","0","0","0",0
"59","NM_178497","NM_002105","HGNC:26300","HGNC:4739","0.091","0","1","0.051","0","0.067","0.074","0","1",0
"60","NM_018128","NM_000572","HGNC:25542","HGNC:5962","0","0","0.192","0","0","0.03","0","0.148","0.367",0
"61","NM_178813","NM_017900","HGNC:24061","HGNC:24114","0","0.238","1","0","0.077","0.067","0.08","0.431","1",0
"62","NM_022550","NR_036257","HGNC:12831","HGNC:38223","0","0","0","0","0","0","0","0","0",0
"63","NM_006602","NM_006782","HGNC:11646","HGNC:12868","1","1","0.409","0.212","0.12","0.094","1","1","0.432",0
"64","NM_019841","NM_016408","HGNC:3145","HGNC:15880","0.121","0","0.344","0.055","0","0.067","0.09","0.308","0.602",0
"65","NM_003544","NM_031452","HGNC:4789","HGNC:31022","0.309","0.53","0.73","0.193","0.135","0.122","0.272","0.615","0.81",0
"66","NM_005027","NR_106996","HGNC:8980","HGNC:49973","0","0","0","0","0","0","0","0.141","0",0
"67","NM_001033032","NR_160801","HGNC:18703","HGNC:27904","0","0","0","0","0","0","0","0","0",0
"68","NM_004958","NM_012133","HGNC:3942","HGNC:2237","0.028","0.56","0","0.016","0.157","0","0.058","0.574","0",0
"69","NM_001127388","NM_002695","HGNC:37265","HGNC:9192","0","0","0","0","0","0","0","0","0",0
"70","NM_024980","NM_152415","HGNC:23687","HGNC:24928","0.038","0.537","0","0.017","0.227","0","0.128","0.429","0.143",0
"71","NM_052888","NM_022762","HGNC:29070","HGNC:26181","0","0","0","0","0","0","0","0","0",0
"72","NM_000093","NR_003013","HGNC:2209","HGNC:32573","0","0","0","0","0","0","0","0","0",0
"73","NM_021079","NM_152406","HGNC:7857","HGNC:26714","0","0","0","0","0","0","0","0","0.158",0
