,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
0,G:HGNC:7849,G:HGNC:7851,GTG,25.0,0.957,576.0
1,G:HGNC:3435,G:HGNC:26220,GTG,387.0,0.325,573.0
2,G:HGNC:3435,G:HGNC:26220,GMG,2.0,0.992,244.0
3,G:HGNC:3435,G:HGNC:26220,GMDMG,1.0,0.998,645.0
4,G:HGNC:16253,G:HGNC:11278,GPdPG,2.0,0.867,15.0
5,G:HGNC:16253,G:HGNC:11278,GTG,3.0,0.987,235.0
6,G:HGNC:16253,G:HGNC:11278,GMDMG,2895.0,0.322,4267.0
7,G:HGNC:16253,G:HGNC:11278,GMDpDMG,3045.0,0.524,6396.0
8,G:HGNC:7717,G:HGNC:7716,GDG,1.0,0.8,5.0
9,G:HGNC:7717,G:HGNC:7716,GDpDG,1.0,0.998,434.0
10,G:HGNC:7717,G:HGNC:7716,GPdPG,1.0,0.933,15.0
11,G:HGNC:7717,G:HGNC:7716,GTG,3.0,0.991,350.0
12,G:HGNC:14129,G:HGNC:24650,GTG,1.0,0.998,490.0
13,G:HGNC:14129,G:HGNC:24650,GMG,6.0,0.983,345.0
14,G:HGNC:14129,G:HGNC:24650,GMDMG,239.0,0.948,4591.0
15,G:HGNC:14129,G:HGNC:24650,GMDpDMG,3382.0,0.359,5280.0
16,G:HGNC:393,G:HGNC:6863,GTG,33.0,0.939,544.0
17,G:HGNC:9314,G:HGNC:15566,GTG,125.0,0.784,578.0
18,G:HGNC:9314,G:HGNC:15566,GMDMG,1773.0,0.296,2517.0
19,G:HGNC:8905,G:HGNC:8906,GTG,1.0,0.998,450.0
20,G:HGNC:8905,G:HGNC:8906,GMG,177.0,0.608,451.0
21,G:HGNC:8905,G:HGNC:8906,GMDMG,2484.0,0.426,4329.0
22,G:HGNC:8905,G:HGNC:8906,GMDpDMG,4170.0,0.251,5568.0
23,G:HGNC:251,G:HGNC:255,GTG,3.0,0.989,273.0
24,G:HGNC:2460,G:HGNC:9381,GTG,137.0,0.778,617.0
25,G:HGNC:8784,G:HGNC:8787,GPdPG,16.0,0.698,53.0
26,G:HGNC:8784,G:HGNC:8787,GTG,16.0,0.947,303.0
27,G:HGNC:8592,G:HGNC:9402,GDpDpDG,2508.0,0.557,5658.0
28,G:HGNC:8592,G:HGNC:9402,GPdPG,3.0,0.932,44.0
29,G:HGNC:8592,G:HGNC:9402,GTG,214.0,0.643,599.0
30,G:HGNC:8592,G:HGNC:9402,GMG,291.0,0.464,543.0
31,G:HGNC:10540,G:HGNC:23160,GTG,2.0,0.993,301.0
32,G:HGNC:10540,G:HGNC:23160,GMG,21.0,0.93,302.0
33,G:HGNC:9416,G:HGNC:9395,GTG,183.0,0.704,618.0
34,G:HGNC:9416,G:HGNC:9395,GMG,666.0,0.339,1008.0
35,G:HGNC:9416,G:HGNC:9395,GMDMG,2624.0,0.33,3917.0
36,G:HGNC:9416,G:HGNC:9395,GMDpDMG,3401.0,0.367,5374.0
37,G:HGNC:18080,G:HGNC:10871,GTG,5.0,0.977,214.0
38,G:HGNC:8787,G:HGNC:8779,GPdPG,6.0,0.786,28.0
39,G:HGNC:8787,G:HGNC:8779,GTG,176.0,0.531,375.0
40,G:HGNC:19316,G:HGNC:19317,GDpDpDG,3277.0,0.358,5102.0
41,G:HGNC:19316,G:HGNC:19317,GPdPG,1.0,0.917,12.0
42,G:HGNC:19316,G:HGNC:19317,GTG,2.0,0.994,363.0
43,G:HGNC:19316,G:HGNC:19317,GMDMG,969.0,0.601,2429.0
44,G:HGNC:19316,G:HGNC:19317,GMDpDMG,2431.0,0.454,4450.0
45,G:HGNC:6863,G:HGNC:11399,GPdPG,1.0,0.963,27.0
46,G:HGNC:6863,G:HGNC:11399,GTG,37.0,0.926,497.0
47,G:HGNC:4131,G:HGNC:23233,GTG,8.0,0.961,205.0
48,G:HGNC:5194,G:HGNC:5195,GTG,4.0,0.974,151.0
49,G:HGNC:5194,G:HGNC:5195,GMDMG,3646.0,0.155,4317.0
50,G:HGNC:9381,G:HGNC:9403,GTG,65.0,0.891,594.0
51,G:HGNC:9381,G:HGNC:9403,GMDMG,2831.0,0.258,3813.0
52,G:HGNC:22140,G:HGNC:9416,GTG,159.0,0.619,417.0
53,G:HGNC:22140,G:HGNC:9416,GMDMG,2903.0,0.127,3324.0
54,G:HGNC:22140,G:HGNC:9416,GMDpDMG,2911.0,0.364,4579.0
55,G:HGNC:813,G:HGNC:817,GTG,60.0,0.889,540.0
56,G:HGNC:813,G:HGNC:817,GMG,397.0,0.449,721.0
57,G:HGNC:9416,G:HGNC:9413,GTG,253.0,0.624,673.0
58,G:HGNC:9416,G:HGNC:9413,GMG,298.0,0.433,526.0
59,G:HGNC:9416,G:HGNC:9413,GMDMG,133.0,0.957,3084.0
60,G:HGNC:9416,G:HGNC:9413,GMDpDMG,3185.0,0.185,3907.0
61,G:HGNC:3516,G:HGNC:3518,GTG,1.0,0.997,294.0
62,G:HGNC:16637,G:HGNC:29958,GTG,93.0,0.785,432.0
63,G:HGNC:7458,G:HGNC:7708,GDG,6.0,0.333,9.0
64,G:HGNC:7458,G:HGNC:7708,GDpDG,13.0,0.987,966.0
65,G:HGNC:7458,G:HGNC:7708,GDpDpDG,1176.0,0.801,5916.0
66,G:HGNC:7458,G:HGNC:7708,GPdPG,1.0,0.933,15.0
67,G:HGNC:7458,G:HGNC:7708,GTG,29.0,0.918,355.0
68,G:HGNC:9302,G:HGNC:9300,GTG,39.0,0.931,566.0
69,G:HGNC:9302,G:HGNC:9300,GMDMG,2311.0,0.363,3630.0
70,G:HGNC:9302,G:HGNC:9300,GMDpDMG,3585.0,0.361,5606.0
71,G:HGNC:811,G:HGNC:13211,GTG,8.0,0.981,415.0
72,G:HGNC:8590,G:HGNC:9380,GPdPG,34.0,0.469,64.0
73,G:HGNC:8590,G:HGNC:9380,GTG,217.0,0.737,825.0
74,G:HGNC:8590,G:HGNC:9380,GMDMG,2502.0,0.256,3361.0
75,G:HGNC:9410,G:HGNC:18133,GPdPG,7.0,0.863,51.0
76,G:HGNC:9410,G:HGNC:18133,GTG,218.0,0.617,569.0
77,G:HGNC:2285,G:HGNC:2277,GTG,5.0,0.976,206.0
78,G:HGNC:18133,G:HGNC:9413,GTG,290.0,0.613,749.0
79,G:HGNC:9611,G:HGNC:10481,GTG,260.0,0.67,789.0
80,G:HGNC:9611,G:HGNC:10481,GMG,188.0,0.584,452.0
81,G:HGNC:9611,G:HGNC:10481,GMDMG,145.0,0.949,2832.0
82,G:HGNC:9611,G:HGNC:10481,GMDpDMG,3203.0,0.284,4473.0
83,G:HGNC:1973,G:HGNC:5201,GTG,42.0,0.814,226.0
84,G:HGNC:1973,G:HGNC:5201,GMDMG,104.0,0.945,1882.0
85,G:HGNC:9299,G:HGNC:15566,GTG,78.0,0.861,562.0
86,G:HGNC:9299,G:HGNC:15566,GMDMG,2597.0,0.17,3129.0
87,G:HGNC:9286,G:HGNC:9288,GTG,4.0,0.985,275.0
88,G:HGNC:9286,G:HGNC:9288,GMG,201.0,0.648,571.0
89,G:HGNC:9286,G:HGNC:9288,GMDMG,3486.0,0.123,3974.0
90,G:HGNC:9286,G:HGNC:9288,GMDpDMG,4000.0,0.075,4324.0
91,G:HGNC:5330,G:HGNC:29685,GDpDpDG,1644.0,0.714,5747.0
92,G:HGNC:5330,G:HGNC:29685,GPdPG,1.0,0.75,4.0
93,G:HGNC:5330,G:HGNC:29685,GTG,2.0,0.995,403.0
94,G:HGNC:5330,G:HGNC:29685,GMG,70.0,0.822,393.0
95,G:HGNC:5330,G:HGNC:29685,GMDMG,1901.0,0.4,3170.0
96,G:HGNC:5330,G:HGNC:29685,GMDpDMG,287.0,0.941,4843.0
97,G:HGNC:9299,G:HGNC:9318,GTG,380.0,0.246,504.0
98,G:HGNC:21531,G:HGNC:22946,GTG,2.0,0.992,236.0
99,G:HGNC:5194,G:HGNC:5196,GPdPG,4.0,0.778,18.0
100,G:HGNC:5194,G:HGNC:5196,GTG,3.0,0.981,154.0
101,G:HGNC:5194,G:HGNC:5196,GMDMG,4088.0,0.132,4708.0
102,G:HGNC:5194,G:HGNC:5196,GMDpDMG,3294.0,0.441,5888.0
103,G:HGNC:9304,G:HGNC:9307,GTG,15.0,0.959,369.0
104,G:HGNC:9306,G:HGNC:9300,GTG,20.0,0.949,391.0
105,G:HGNC:9306,G:HGNC:9300,GMDMG,2385.0,0.151,2808.0
106,G:HGNC:9306,G:HGNC:9300,GMDpDMG,13.0,0.996,3582.0
107,G:HGNC:393,G:HGNC:9403,GTG,38.0,0.933,571.0
108,G:HGNC:393,G:HGNC:9403,GMDMG,3257.0,0.187,4007.0
109,G:HGNC:9611,G:HGNC:8031,GPdPG,14.0,0.785,65.0
110,G:HGNC:9611,G:HGNC:8031,GTG,138.0,0.824,783.0
111,G:HGNC:9036,G:HGNC:27396,GTG,8.0,0.977,345.0
112,G:HGNC:9036,G:HGNC:27396,GMDMG,3205.0,0.061,3413.0
113,G:HGNC:817,G:HGNC:816,GTG,13.0,0.977,556.0
114,G:HGNC:8931,G:HGNC:8930,GTG,1.0,0.997,378.0
115,G:HGNC:11455,G:HGNC:30004,GTG,13.0,0.951,264.0
116,G:HGNC:4127,G:HGNC:30488,GTG,2.0,0.992,239.0
117,G:HGNC:9276,G:HGNC:28110,GTG,12.0,0.968,378.0
118,G:HGNC:9276,G:HGNC:28110,GMDMG,2198.0,0.25,2929.0
119,G:HGNC:9276,G:HGNC:28110,GMDpDMG,337.0,0.922,4312.0
120,G:HGNC:4127,G:HGNC:19873,GTG,6.0,0.975,241.0
121,G:HGNC:19342,G:HGNC:23317,GTG,19.0,0.893,177.0
122,G:HGNC:11408,G:HGNC:13480,GTG,175.0,0.738,668.0
123,G:HGNC:11408,G:HGNC:13480,GMG,666.0,0.548,1474.0
124,G:HGNC:11408,G:HGNC:13480,GMDMG,2463.0,0.396,4075.0
125,G:HGNC:11408,G:HGNC:13480,GMDpDMG,5177.0,0.14,6020.0
126,G:HGNC:28110,G:HGNC:9307,GTG,26.0,0.91,288.0
127,G:HGNC:8590,G:HGNC:11399,GPdPG,1.0,0.963,27.0
128,G:HGNC:8590,G:HGNC:11399,GTG,111.0,0.851,745.0
129,G:HGNC:8957,G:HGNC:8960,GDpDpDG,2105.0,0.629,5669.0
130,G:HGNC:8957,G:HGNC:8960,GTG,6.0,0.978,275.0
131,G:HGNC:9314,G:HGNC:9319,GTG,129.0,0.773,568.0
132,G:HGNC:9314,G:HGNC:9319,GMDMG,1057.0,0.658,3095.0
133,G:HGNC:9314,G:HGNC:9319,GMDpDMG,2303.0,0.589,5608.0
134,G:HGNC:3655,G:HGNC:2444,GPdPG,6.0,0.87,46.0
135,G:HGNC:3655,G:HGNC:2444,GTG,82.0,0.872,640.0
136,G:HGNC:3655,G:HGNC:2444,GMDMG,2189.0,0.323,3231.0
137,G:HGNC:3655,G:HGNC:2444,GMDpDMG,2913.0,0.365,4584.0
138,G:HGNC:29149,G:HGNC:28110,GTG,10.0,0.974,384.0
