gene1,gene2,label,meta_path,rank_percent
G:HGNC:7849,G:HGNC:7851,1,GTG,0.957
G:HGNC:3435,G:HGNC:26220,1,GMDMG,0.998
G:HGNC:16253,G:HGNC:11278,1,GTG,0.987
G:HGNC:7717,G:HGNC:7716,1,GDpDG,0.998
G:HGNC:14129,G:HGNC:24650,1,GTG,0.998
G:HGNC:393,G:HGNC:6863,1,GTG,0.939
G:HGNC:9314,G:HGNC:15566,1,GTG,0.784
G:HGNC:8905,G:HGNC:8906,1,GTG,0.998
G:HGNC:251,G:HGNC:255,1,GTG,0.989
G:HGNC:2460,G:HGNC:9381,1,GTG,0.778
G:HGNC:8784,G:HGNC:8787,1,GTG,0.947
G:HGNC:8592,G:HGNC:9402,1,GPdPG,0.932
G:HGNC:10540,G:HGNC:23160,1,GTG,0.993
G:HGNC:9416,G:HGNC:9395,1,GTG,0.704
G:HGNC:18080,G:HGNC:10871,1,GTG,0.977
G:HGNC:8787,G:HGNC:8779,1,GPdPG,0.786
G:HGNC:19316,G:HGNC:19317,1,GTG,0.994
G:HGNC:6863,G:HGNC:11399,1,GPdPG,0.963
G:HGNC:4131,G:HGNC:23233,1,GTG,0.961
G:HGNC:5194,G:HGNC:5195,1,GTG,0.974
G:HGNC:9381,G:HGNC:9403,1,GTG,0.891
G:HGNC:22140,G:HGNC:9416,1,GTG,0.619
G:HGNC:813,G:HGNC:817,1,GTG,0.889
G:HGNC:9416,G:HGNC:9413,1,GMDMG,0.957
G:HGNC:3516,G:HGNC:3518,1,GTG,0.997
G:HGNC:16637,G:HGNC:29958,1,GTG,0.785
G:HGNC:7458,G:HGNC:7708,1,GDpDG,0.987
G:HGNC:9302,G:HGNC:9300,1,GTG,0.931
G:HGNC:811,G:HGNC:13211,1,GTG,0.981
G:HGNC:8590,G:HGNC:9380,1,GTG,0.737
G:HGNC:9410,G:HGNC:18133,1,GPdPG,0.863
G:HGNC:2285,G:HGNC:2277,1,GTG,0.976
G:HGNC:18133,G:HGNC:9413,1,GTG,0.613
G:HGNC:9611,G:HGNC:10481,1,GMDMG,0.949
G:HGNC:1973,G:HGNC:5201,1,GMDMG,0.945
G:HGNC:9299,G:HGNC:15566,1,GTG,0.861
G:HGNC:9286,G:HGNC:9288,1,GTG,0.985
G:HGNC:5330,G:HGNC:29685,1,GTG,0.995
G:HGNC:9299,G:HGNC:9318,1,GTG,0.246
G:HGNC:21531,G:HGNC:22946,1,GTG,0.992
G:HGNC:5194,G:HGNC:5196,1,GTG,0.981
G:HGNC:9304,G:HGNC:9307,1,GTG,0.959
G:HGNC:9306,G:HGNC:9300,1,GMDpDMG,0.996
G:HGNC:393,G:HGNC:9403,1,GTG,0.933
G:HGNC:9611,G:HGNC:8031,1,GTG,0.824
G:HGNC:9036,G:HGNC:27396,1,GTG,0.977
G:HGNC:817,G:HGNC:816,1,GTG,0.977
G:HGNC:8931,G:HGNC:8930,1,GTG,0.997
G:HGNC:11455,G:HGNC:30004,1,GTG,0.951
G:HGNC:4127,G:HGNC:30488,1,GTG,0.992
G:HGNC:9276,G:HGNC:28110,1,GTG,0.968
G:HGNC:4127,G:HGNC:19873,1,GTG,0.975
