,gene1,gene2,result
0,G:HGNC:24170,G:HGNC:16298,"Meta path:GTG, rank is 33 and total rank is 326"
1,G:HGNC:9688,G:HGNC:6773,"Meta path:GTG, rank is 167 and total rank is 710"
2,G:HGNC:5000,G:HGNC:9237,"Meta path:GTG, rank is 279 and total rank is 934"
3,G:HGNC:1773,G:HGNC:11773,"Meta path:GPdPG, rank is 10 and total rank is 43"
4,G:HGNC:9236,G:HGNC:21529,"Meta path:GMDMG, rank is 2630 and total rank is 4837"
5,G:HGNC:4623,G:HGNC:29347,"Meta path:GMG, rank is 1482 and total rank is 2265"
6,G:HGNC:6407,G:HGNC:9092,"Meta path:GTG, rank is 127 and total rank is 619"
7,G:HGNC:3093,G:HGNC:10943,"Meta path:GMDMG, rank is 4 and total rank is 7522"
8,G:HGNC:6679,G:HGNC:11905,"Meta path:GTG, rank is 129 and total rank is 417"
9,G:HGNC:2897,G:HGNC:5048,"Meta path:GMG, rank is 525 and total rank is 1047"
10,G:HGNC:13633,G:HGNC:6914,"Meta path:GMG, rank is 297 and total rank is 1501"
11,G:HGNC:4043,G:HGNC:17550,"Meta path:GTG, rank is 346 and total rank is 534"
12,G:HGNC:10535,G:HGNC:11905,"Meta path:GMG, rank is 503 and total rank is 1573"
13,G:HGNC:5009,G:HGNC:12791,"Meta path:GTG, rank is 483 and total rank is 805"
14,G:HGNC:12851,G:HGNC:1107,"Meta path:GTG, rank is 312 and total rank is 702"
15,G:HGNC:6990,G:HGNC:6769,"Meta path:GTG, rank is 575 and total rank is 1053"
16,G:HGNC:14870,G:HGNC:26886,"Meta path:GTG, rank is 196 and total rank is 423"
17,G:HGNC:949,G:HGNC:29259,"Meta path:GTG, rank is 588 and total rank is 707"
18,G:HGNC:6407,G:HGNC:21091,"Meta path:GMDpDMG, rank is 395 and total rank is 7034"
19,G:HGNC:2303,G:HGNC:16974,"Meta path:GTG, rank is 261 and total rank is 498"
20,G:HGNC:18584,G:HGNC:29239,"Meta path:GTG, rank is 165 and total rank is 344"
21,G:HGNC:3093,G:HGNC:3386,"Meta path:GTG, rank is 448 and total rank is 712"
22,G:HGNC:24050,G:HGNC:4430,"Meta path:GMG, rank is 809 and total rank is 1765"
23,G:HGNC:22042,G:HGNC:4074,"Meta path:GMDMG, rank is 316 and total rank is 4283"
24,G:HGNC:914,G:HGNC:9702,"Meta path:GMG, rank is 1067 and total rank is 1990"
25,G:HGNC:16964,G:HGNC:8620,"Meta path:GTG, rank is 683 and total rank is 762"
26,G:HGNC:1579,G:HGNC:13717,"Meta path:GMG, rank is 275 and total rank is 1608"
27,G:HGNC:3689,G:HGNC:10943,"Meta path:GTG, rank is 479 and total rank is 831"
28,G:HGNC:30204,G:HGNC:16051,"Meta path:GMG, rank is 184 and total rank is 1709"
29,G:HGNC:587,G:HGNC:16262,"Meta path:GTG, rank is 223 and total rank is 686"
30,G:HGNC:2363,G:HGNC:16608,"Meta path:GTG, rank is 444 and total rank is 725"
31,G:HGNC:11160,G:HGNC:28330,"Meta path:GMG, rank is 736 and total rank is 1802"
32,G:HGNC:9092,G:HGNC:6771,"Meta path:GTG, rank is 294 and total rank is 616"
33,G:HGNC:5238,G:HGNC:29681,"Meta path:GMDpDMG, rank is 2538 and total rank is 7045"
34,G:HGNC:29503,G:HGNC:29923,"Meta path:GMG, rank is 42 and total rank is 1648"
35,G:HGNC:5961,G:HGNC:27035,"Meta path:GTG, rank is 361 and total rank is 634"
36,G:HGNC:2328,G:HGNC:6770,"Meta path:GTG, rank is 822 and total rank is 865"
37,G:HGNC:20816,G:HGNC:11063,"Meta path:GTG, rank is 310 and total rank is 468"
38,G:HGNC:6914,G:HGNC:10897,"Meta path:GTG, rank is 147 and total rank is 500"
39,G:HGNC:11200,G:HGNC:30453,"Meta path:GMG, rank is 350 and total rank is 1976"
40,G:HGNC:20150,G:HGNC:9846,"Meta path:GTG, rank is 244 and total rank is 682"
41,G:HGNC:6342,G:HGNC:11160,"Meta path:GTG, rank is 765 and total rank is 796"
42,G:HGNC:6040,G:HGNC:6861,"Meta path:GTG, rank is 237 and total rank is 681"
43,G:HGNC:2684,G:HGNC:7329,"Meta path:GTG, rank is 411 and total rank is 518"
44,G:HGNC:9107,G:HGNC:29681,"Meta path:GMG, rank is 1617 and total rank is 1757"
45,G:HGNC:23247,G:HGNC:26253,"Meta path:GMG, rank is 309 and total rank is 2517"
46,G:HGNC:16673,G:HGNC:5464,"Meta path:GMG, rank is 971 and total rank is 1701"
47,G:HGNC:28866,G:HGNC:9966,"Meta path:GTG, rank is 370 and total rank is 759"
48,G:HGNC:812,G:HGNC:949,"Meta path:GTG, rank is 388 and total rank is 578"
49,G:HGNC:5000,G:HGNC:16245,"Meta path:GTG, rank is 442 and total rank is 689"
50,G:HGNC:1766,G:HGNC:3951,"Meta path:GMG, rank is 1016 and total rank is 1507"
51,G:HGNC:9186,G:HGNC:10770,"Meta path:GTG, rank is 142 and total rank is 493"
52,G:HGNC:6698,G:HGNC:7881,"Meta path:GMDpDMG, rank is 31 and total rank is 7061"
53,G:HGNC:8490,G:HGNC:668,"Meta path:GTG, rank is 336 and total rank is 632"
54,G:HGNC:9449,G:HGNC:12463,"Meta path:GMG, rank is 293 and total rank is 1110"
55,G:HGNC:924,G:HGNC:23068,"Meta path:GMDpDMG, rank is 46 and total rank is 7629"
