,gene1,gene2,result
0,G:HGNC:4816,G:HGNC:626,"Meta path:GTG, rank is 97 and total rank is 385"
1,G:HGNC:21022,G:HGNC:853,"Meta path:GTG, rank is 249 and total rank is 376"
2,G:HGNC:15917,G:HGNC:8905,"Meta path:GTG, rank is 261 and total rank is 624"
3,G:HGNC:4817,G:HGNC:24671,"Meta path:GTG, rank is 23 and total rank is 413"
4,G:HGNC:4021,G:HGNC:886,"Meta path:GMDpDMG, rank is 1718 and total rank is 5625"
5,G:HGNC:5218,G:HGNC:16001,"Meta path:GDpDpDG, rank is 3014 and total rank is 5315"
6,G:HGNC:8960,G:HGNC:8653,"Meta path:GDpDpDG, rank is 2505 and total rank is 5705"
7,G:HGNC:3771,G:HGNC:8724,"Meta path:GDpDpDG, rank is 4209 and total rank is 4887"
8,G:HGNC:291,G:HGNC:14988,"Meta path:GMDMG, rank is 4374 and total rank is 4570"
9,G:HGNC:4837,G:HGNC:8548,"Meta path:GTG, rank is 270 and total rank is 420"
10,G:HGNC:1509,G:HGNC:13486,"Meta path:GTG, rank is 544 and total rank is 614"
11,G:HGNC:2652,G:HGNC:29812,"Meta path:GMG, rank is 260 and total rank is 639"
12,G:HGNC:89,G:HGNC:7436,"Meta path:GMDpDMG, rank is 38 and total rank is 3666"
13,G:HGNC:5212,G:HGNC:15917,"Meta path:GMDMG, rank is 189 and total rank is 2236"
14,G:HGNC:417,G:HGNC:4699,"Meta path:GTG, rank is 145 and total rank is 418"
15,G:HGNC:3434,G:HGNC:251,"Meta path:GTG, rank is 479 and total rank is 658"
16,G:HGNC:886,G:HGNC:26527,"Meta path:GMG, rank is 20 and total rank is 307"
17,G:HGNC:886,G:HGNC:28526,"Meta path:GDpDG, rank is 512 and total rank is 665"
18,G:HGNC:1062,G:HGNC:6842,"Meta path:GTG, rank is 346 and total rank is 574"
19,G:HGNC:2995,G:HGNC:2260,"Meta path:GDpDpDG, rank is 45 and total rank is 5873"
20,G:HGNC:26527,G:HGNC:9891,"Meta path:GDpDG, rank is 227 and total rank is 317"
21,G:HGNC:9082,G:HGNC:24249,"Meta path:GMDMG, rank is 1470 and total rank is 2636"
22,G:HGNC:9067,G:HGNC:857,"Meta path:GTG, rank is 97 and total rank is 465"
23,G:HGNC:6937,G:HGNC:9752,"Meta path:GDpDG, rank is 103 and total rank is 407"
24,G:HGNC:177,G:HGNC:16066,"Meta path:GMDMG, rank is 213 and total rank is 1879"
25,G:HGNC:4162,G:HGNC:13398,"Meta path:GDpDpDG, rank is 3131 and total rank is 5575"
26,G:HGNC:20499,G:HGNC:3688,"Meta path:GTG, rank is 561 and total rank is 620"
27,G:HGNC:2933,G:HGNC:1461,"Meta path:GTG, rank is 110 and total rank is 537"
28,G:HGNC:2280,G:HGNC:6840,"Meta path:GDpDG, rank is 279 and total rank is 656"
29,G:HGNC:7707,G:HGNC:5218,"Meta path:GPdPG, rank is 2 and total rank is 27"
30,G:HGNC:18294,G:HGNC:25481,"Meta path:GDpDpDG, rank is 2110 and total rank is 5718"
31,G:HGNC:3706,G:HGNC:13398,"Meta path:GTG, rank is 254 and total rank is 388"
32,G:HGNC:6826,G:HGNC:6903,"Meta path:GTG, rank is 139 and total rank is 321"
33,G:HGNC:3151,G:HGNC:11449,"Meta path:GTG, rank is 41 and total rank is 302"
34,G:HGNC:19684,G:HGNC:11449,"Meta path:GTG, rank is 201 and total rank is 367"
35,G:HGNC:18337,G:HGNC:19358,"Meta path:GDpDpDG, rank is 3292 and total rank is 3831"
36,G:HGNC:8794,G:HGNC:8927,"Meta path:GTG, rank is 73 and total rank is 306"
37,G:HGNC:2277,G:HGNC:16066,"Meta path:GDpDG, rank is 188 and total rank is 330"
38,G:HGNC:7680,G:HGNC:6186,"Meta path:GTG, rank is 95 and total rank is 305"
39,G:HGNC:9407,G:HGNC:8547,"Meta path:GTG, rank is 522 and total rank is 594"
40,G:HGNC:8768,G:HGNC:3688,"Meta path:GTG, rank is 569 and total rank is 686"
41,G:HGNC:2873,G:HGNC:812,"Meta path:GTG, rank is 178 and total rank is 529"
42,G:HGNC:4422,G:HGNC:816,"Meta path:GTG, rank is 150 and total rank is 426"
43,G:HGNC:9314,G:HGNC:9870,"Meta path:GDpDG, rank is 228 and total rank is 379"
44,G:HGNC:17697,G:HGNC:33882,"Meta path:GDpDG, rank is 221 and total rank is 358"
45,G:HGNC:20,G:HGNC:1246,"Meta path:GTG, rank is 289 and total rank is 457"
46,G:HGNC:392,G:HGNC:2843,"Meta path:GTG, rank is 395 and total rank is 581"
47,G:HGNC:18453,G:HGNC:5394,"Meta path:GTG, rank is 38 and total rank is 442"
48,G:HGNC:13486,G:HGNC:6215,"Meta path:GTG, rank is 271 and total rank is 506"
49,G:HGNC:1037,G:HGNC:15516,"Meta path:GTG, rank is 203 and total rank is 390"
50,G:HGNC:10545,G:HGNC:15517,"Meta path:GTG, rank is 110 and total rank is 281"
51,G:HGNC:2873,G:HGNC:3528,"Meta path:GTG, rank is 177 and total rank is 439"
52,G:HGNC:28883,G:HGNC:12586,"Meta path:GMDpDMG, rank is 951 and total rank is 3767"
53,G:HGNC:3133,G:HGNC:4800,"Meta path:GMG, rank is 29 and total rank is 325"
54,G:HGNC:29958,G:HGNC:2280,"Meta path:GDpDpDG, rank is 4135 and total rank is 4214"
55,G:HGNC:2277,G:HGNC:758,"Meta path:GMDMG, rank is 2141 and total rank is 2722"
56,G:HGNC:10547,G:HGNC:1476,"Meta path:GMDMG, rank is 2090 and total rank is 3449"
57,G:HGNC:2342,G:HGNC:12572,"Meta path:GTG, rank is 178 and total rank is 382"
58,G:HGNC:1509,G:HGNC:19358,"Meta path:GDpDG, rank is 191 and total rank is 327"
59,G:HGNC:29958,G:HGNC:12440,"Meta path:GTG, rank is 276 and total rank is 476"
60,G:HGNC:1550,G:HGNC:8547,"Meta path:GTG, rank is 322 and total rank is 448"
61,G:HGNC:4335,G:HGNC:237,"Meta path:GTG, rank is 195 and total rank is 446"
62,G:HGNC:4699,G:HGNC:17095,"Meta path:GDpDpDG, rank is 2642 and total rank is 5575"
63,G:HGNC:2898,G:HGNC:7892,"Meta path:GMG, rank is 37 and total rank is 346"
64,G:HGNC:9115,G:HGNC:9588,"Meta path:GDpDG, rank is 334 and total rank is 490"
65,G:HGNC:232,G:HGNC:812,"Meta path:GTG, rank is 380 and total rank is 532"
66,G:HGNC:4816,G:HGNC:2592,"Meta path:GTG, rank is 173 and total rank is 322"
67,G:HGNC:392,G:HGNC:4162,"Meta path:GTG, rank is 316 and total rank is 594"
68,G:HGNC:341,G:HGNC:30881,"Meta path:GMG, rank is 86 and total rank is 382"
69,G:HGNC:9350,G:HGNC:4696,"Meta path:GDpDpDG, rank is 3183 and total rank is 5300"
70,G:HGNC:854,G:HGNC:3688,"Meta path:GMDpDMG, rank is 83 and total rank is 7088"
71,G:HGNC:17697,G:HGNC:9350,"Meta path:GMDMG, rank is 1992 and total rank is 2844"
72,G:HGNC:2277,G:HGNC:20286,"Meta path:GTG, rank is 66 and total rank is 214"
73,G:HGNC:8768,G:HGNC:470,"Meta path:GTG, rank is 221 and total rank is 465"
