,gene1,gene2,result
0,G:HGNC:232,G:HGNC:2698,"Meta path:GTG, rank is 324 and total rank is 450"
1,G:HGNC:4138,G:HGNC:468,"Meta path:GMG, rank is 310 and total rank is 602"
2,G:HGNC:17697,G:HGNC:16999,"Meta path:GTG, rank is 157 and total rank is 338"
3,G:HGNC:257,G:HGNC:6831,"Meta path:GDpDG, rank is 205 and total rank is 349"
4,G:HGNC:21144,G:HGNC:30262,"Meta path:GDpDG, rank is 110 and total rank is 435"
5,G:HGNC:19743,G:HGNC:890,"Meta path:GDpDG, rank is 318 and total rank is 590"
6,G:HGNC:21869,G:HGNC:20324,"Meta path:GMDpDMG, rank is 1673 and total rank is 4583"
7,G:HGNC:408,G:HGNC:9350,"Meta path:GTG, rank is 237 and total rank is 385"
8,G:HGNC:9462,G:HGNC:9302,"Meta path:GTG, rank is 273 and total rank is 569"
9,G:HGNC:25792,G:HGNC:8931,"Meta path:GDpDG, rank is 63 and total rank is 221"
10,G:HGNC:24861,G:HGNC:251,"Meta path:GDpDpDG, rank is 3396 and total rank is 5730"
11,G:HGNC:9399,G:HGNC:451,"Meta path:GMG, rank is 400 and total rank is 639"
12,G:HGNC:417,G:HGNC:25481,"Meta path:GDpDG, rank is 33 and total rank is 333"
13,G:HGNC:21406,G:HGNC:251,"Meta path:GDpDG, rank is 253 and total rank is 367"
14,G:HGNC:25223,G:HGNC:15517,"Meta path:GMG, rank is 44 and total rank is 422"
15,G:HGNC:9115,G:HGNC:1133,"Meta path:GMDpDMG, rank is 149 and total rank is 4529"
16,G:HGNC:2976,G:HGNC:5330,"Meta path:GTG, rank is 397 and total rank is 510"
17,G:HGNC:9305,G:HGNC:21406,"Meta path:GTG, rank is 109 and total rank is 318"
18,G:HGNC:6840,G:HGNC:3579,"Meta path:GDpDG, rank is 310 and total rank is 549"
19,G:HGNC:327,G:HGNC:7631,"Meta path:GDpDpDG, rank is 3027 and total rank is 5604"
20,G:HGNC:15629,G:HGNC:8931,"Meta path:GTG, rank is 212 and total rank is 400"
21,G:HGNC:7436,G:HGNC:4204,"Meta path:GMDpDMG, rank is 38 and total rank is 3666"
22,G:HGNC:2689,G:HGNC:2519,"Meta path:GTG, rank is 183 and total rank is 417"
23,G:HGNC:1848,G:HGNC:1480,"Meta path:GTG, rank is 296 and total rank is 534"
24,G:HGNC:9689,G:HGNC:11992,"Meta path:GTG, rank is 241 and total rank is 423"
25,G:HGNC:392,G:HGNC:9040,"Meta path:GMG, rank is 345 and total rank is 576"
26,G:HGNC:2321,G:HGNC:30260,"Meta path:GTG, rank is 31 and total rank is 329"
27,G:HGNC:19743,G:HGNC:9411,"Meta path:GMDMG, rank is 55 and total rank is 1581"
