RefSeq1,RefSeq2,gene1,gene2,label
NM_000340,NM_002066,HGNC:11006,HGNC:4375,0
NM_001255,NR_029506,HGNC:1723,HGNC:31631,0
NM_177403,NM_182751,HGNC:30513,HGNC:18043,0
NM_032808,NM_003321,HGNC:21205,HGNC:12420,0
NM_175747,NM_002315,HGNC:18003,HGNC:6641,0
NM_182658,NM_020408,HGNC:16178,HGNC:21365,0
NM_004195,NM_001113402,HGNC:11914,HGNC:27281,0
NM_002960,NM_002767,HGNC:10493,HGNC:9467,0
NM_006973,NM_004236,HGNC:13095,HGNC:30747,0
NR_026677,NM_024078,HGNC:23642,HGNC:28461,0
NM_153365,NM_152269,HGNC:26887,HGNC:26784,0
NM_178833,NM_000887,HGNC:25143,HGNC:6152,0
NG_001019,NM_032899,HGNC:5654,HGNC:28210,0
NM_001302,NM_007202,HGNC:2257,HGNC:368,0
NG_001333,NM_017852,HGNC:12210,HGNC:22948,0
NM_002975,NM_018089,HGNC:10576,HGNC:25527,0
NM_025239,NM_005739,HGNC:18731,HGNC:9878,0
NM_022046,NM_001001959,HGNC:6362,HGNC:14998,0
NM_014509,NM_000891,HGNC:29446,HGNC:6263,0
NM_001144989,NM_178844,HGNC:33258,HGNC:29889,0
NM_001788,NM_005990,HGNC:1717,HGNC:11388,0
NM_001010977,NM_021220,HGNC:33717,HGNC:15804,0
NM_025149,NM_173542,HGNC:26101,HGNC:27283,0
NM_033260,NM_006299,HGNC:20951,HGNC:12984,0
NM_014339,NM_030813,HGNC:5985,HGNC:30664,0
NM_023927,NM_006142,HGNC:24911,HGNC:10773,0
NM_182488,NR_002734,HGNC:20485,HGNC:13422,0
NM_006238,NM_001178,HGNC:9235,HGNC:701,0
NM_015127,NM_001042702,HGNC:29675,HGNC:29502,0
NM_001927,NM_207309,HGNC:2770,HGNC:28082,0
NM_001001394,NM_005630,HGNC:32397,HGNC:10955,0
NM_015442,NM_022913,HGNC:23817,HGNC:29520,0
NM_173483,NR_000024,HGNC:26820,HGNC:10186,0
NG_001336,NM_001062,HGNC:12278,HGNC:11652,0
NM_001039792,NM_000144,HGNC:33872,HGNC:3951,0
NM_005487,NM_004132,HGNC:5003,HGNC:4798,0
NM_001040429,NM_174928,HGNC:14267,HGNC:27351,0
NR_146152,NM_001548,HGNC:53523,HGNC:5407,0
NM_080752,NM_130900,HGNC:16157,HGNC:16798,0
NM_001077711,NM_057175,HGNC:33864,HGNC:30782,0
NM_014279,NR_002962,HGNC:17187,HGNC:32613,0
NM_003579,NM_005260,HGNC:9826,HGNC:4224,0
"NM_058202, NM_058200, NM_058201, NM_016512, NM_058203, NM_058206, NM_058207",NM_006357,HGNC:14534,HGNC:12479,0
NM_198461,NM_030811,HGNC:24788,HGNC:14045,0
NM_006618,NM_004359,HGNC:18039,HGNC:1734,0
NM_133259,NM_020998,HGNC:15714,HGNC:7380,0
NM_001290693,NR_160886,HGNC:38606,HGNC:28305,0
NM_015229,NM_003759,HGNC:29094,HGNC:11030,0
NM_153266,NM_178351,HGNC:28497,HGNC:29464,0
NM_032732,NM_001005196,HGNC:18358,HGNC:8473,0
NM_016581,NM_001355292,HGNC:29548,HGNC:15024,0
NM_138999,NM_023080,HGNC:13823,HGNC:26104,0
NR_002977,NR_145717,HGNC:32638,HGNC:52190,0
NM_001099334,NR_030615,HGNC:34352,HGNC:33660,0
NM_006458,NM_152641,HGNC:10064,HGNC:18037,0
NR_002440,NM_001146341,HGNC:32712,HGNC:33888,0
NM_153686,NM_020761,HGNC:30776,HGNC:30287,0
NM_014900,NM_032772,HGNC:23571,HGNC:23589,0
NM_001013579,NM_001372,HGNC:23252,HGNC:2953,0
NM_018131,NR_030288,HGNC:1161,HGNC:32818,0
NM_005305,NM_145071,HGNC:4500,HGNC:1984,0
NM_001012755,NM_015307,HGNC:31894,HGNC:29075,0
NM_000526,NM_021138,HGNC:6416,HGNC:12032,0
NM_181785,NM_030567,HGNC:27501,HGNC:28130,0
NM_001154,NM_021213,HGNC:543,HGNC:8752,0
NM_134441,NM_021094,HGNC:10027,HGNC:10956,0
NM_022776,NM_012431,HGNC:16397,HGNC:10727,0
NM_001008393,NR_030352,HGNC:27320,HGNC:32877,0
NM_002426,NM_017662,HGNC:7158,HGNC:17995,0
NM_031440,NM_001009984,HGNC:15572,HGNC:17721,0
NM_024646,NM_182758,HGNC:25820,HGNC:26790,0
NM_012375,NM_182556,HGNC:8318,HGNC:27442,0
NM_001105576,NM_032961,HGNC:32960,HGNC:13404,0
NM_033415,NM_005158,HGNC:25049,HGNC:77,0
NM_030953,NM_001320473,HGNC:18332,HGNC:27407,0
NM_002773,NR_029886,HGNC:9491,HGNC:31771,0
NM_194283,NM_145251,HGNC:27030,HGNC:11447,0
NM_001145712,NM_024039,HGNC:44164,HGNC:24967,0
NR_003352.1,NM_005900,HGNC:33056,HGNC:6767,0
NM_019023,NR_104604,HGNC:25557,HGNC:32484,0
NM_001013735,NM_152588,HGNC:23315,HGNC:25440,0
NM_013274,NM_018890,HGNC:9184,HGNC:9801,0
